CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
23.781.211/0001-04;2024-03-01;1;2916108.97;1500.76;2701319.78;213288.43;0;2986730984.99;2774925000;0;336632000;0;0;0;2438293000;0;0;0;0;0;0;0;0;0;0;0;211805984.99;0;0;;0;0;;0;0;0;19539392.82;11266842.98;0;8272549.84;2700000.07;7081.88;0;0;0;0;0;0;0;624874505.71;627581587.66
23.876.086/0001-16;2024-01-01;1;1096856.17;;;;1096856.17;14952411.37;0;;;;;;;;;;;;;;;;;;;14952411.37;;;;;;;;;169152.95;;;169152.95;;141422.22;;;;;;;;100652.42;242074.64
23.876.086/0001-16;2024-02-01;1;1070869.49;;;;1070869.49;14952411.37;0;;;;;;;;;;;;;;;;;;;14952411.37;;;;;;;;;169297.58;;;169297.58;;155467.58;;;;;;;;120652.42;276120
23.876.086/0001-16;2024-03-01;1;1058333.01;;;;1058333.01;14952411.37;0;;;;;;;;;;;;;;;;;;;14952411.37;;;;;;;;;169204.18;;;169204.18;;170703.25;;;;;;;;130746.62;301449.87
23.964.843/0001-03;2024-01-01;1;8563034.7;7741.55;;0;8555293.15;37053946.34;0;;;;;;;;;;;;;;;;;;37053946.34;;;;;;;;;;95931666.29;;95914755.61;16910.68;8063787.39;195946.1;;2170147.4;;;;;;7081114.83;17510995.72
23.964.843/0001-03;2024-02-01;1;969419.78;2927;;0;966492.78;37053946.34;0;;;;;;0;;;;;;;;;;;;37053946.34;;;;;;;;;;95469303.86;;95452071.08;17232.78;230734.07;158865.37;;2170147.4;;;;;;7102873.99;9662620.83
23.964.843/0001-03;2024-03-01;1;1012166.85;2854;;;1009312.85;37053946.34;0;;;;;;;;;;;;;;;;;;37053946.34;;;;;;;;;;93860029.7;;93843119.02;16910.68;230734.07;166913.4;;978812.5;;;;;;6998013.2;8374473.17
23.964.908/0001-10;2024-01-01;1;15108079.58;19062.43;0;0;15089017.15;57328000;57328000;0;0;0;57328000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14064592.43;0;13976723.42;87869.01;0;45238.68;0;0;0;0;0;0;0;1076795.94;1122034.62
23.964.908/0001-10;2024-02-01;1;15698403.44;18312.65;0;0;15680090.79;57328000;57328000;0;0;0;57328000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13386961.41;0;13300661.93;86299.48;0;45238.68;0;0;0;0;0;0;0;1080334.22;1125572.9
23.964.908/0001-10;2024-03-01;1;21834539.15;427318.57;0;0;21407220.58;57328000;57328000;0;0;0;57328000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;12256830.21;0;12172182.86;84647.35;0;45238.68;0;0;0;0;0;0;0;6280341.12;6325579.8
