;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;LPA;VPA
710;CPLE3;8.95;11.82;1.12;1.243;3,40%;0.478;6.06;7.28;-1.49;9.82;7.13;17,07%;10,83%;1.47;7,64%;9,46%;50145900.0;23886200000.0;0.63;7,48%;0.76;8.01
711;FIQE3;4.2;11.84;1.41;1.808;3,03%;0.771;7.55;8.15;-4.88;7.69;3.62;22,19%;15,27%;1.53;12,38%;11,90%;1009160.0;1079370000.0;0.31;33,24%;0.35;2.98
712;ENMT4;75.0;11.91;4.37;2.171;4,73%;1.262;27.8;7.35;-2.91;9.33;8.3;29,55%;18,23%;1.2;19,45%;36,67%;4170.12;3761110000.0;1.43;12,65%;6.30;17.18
713;ENBR3;24.08;11.93;1.28;0.787;1,12%;0.374;-42.45;3.13;-1.07;5.28;4.06;25,10%;7,78%;0.97;13,82%;10,76%;0.0;10899800000.0;1.2;4,65%;2.02;18.76
714;ENMT3;75.59;12.0;4.4;2.188;4,70%;1.272;28.02;7.4;-2.93;9.39;8.35;29,55%;18,23%;1.2;19,45%;36,67%;8742.56;3761110000.0;1.43;12,65%;6.30;17.18
715;ENGI11;49.71;12.02;1.91;0.798;4,48%;0.334;12.26;3.65;-0.65;7.66;6.11;21,85%;9,05%;1.12;10,73%;15,92%;148377000.0;11897500000.0;2.72;10,36%;4.14;25.98
716;FIBR3;66.3;12.03;2.59;2.01;7,59%;0.899;9.59;5.13;-2.54;7.17;5.29;39,18%;16,75%;1.46;22,95%;21,57%;0.0;14149000000.0;1.46;22,71%;5.51;25.55
717;EBCO3;1.05;12.03;0.84;0.346;0,00%;0.368;52.72;8.94;-15.02;8.68;8.68;3,88%;2,90%;1.01;5,04%;7,00%;0.0;828097000.0;0.02;6,09%;0.09;1.25
718;SANB11;28.63;12.11;1.25;0.0;5,63%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;10,32%;55556900.0;85913600000.0;0.0;-11,09%;2.36;22.91
719;LOGG3;22.81;12.13;0.62;10.585;3,06%;0.373;5.76;14.42;-1.47;23.71;23.15;73,39%;88,56%;1.77;2,79%;5,15%;3700490.0;3729940000.0;0.51;16,33%;1.88;36.51
