"Ticker","Nome","Negócios","Última (R$)","Variação"
"PRNR3","Priner","215.900","10,98","+0,09%"
"FIQE3","Unifique","213.100","3,92","+2,89%"
"ROMI3","Indústrias ROMI","212.000","12,42","+0,98%"
"PNVL3","Dimed","199.800","11,35","+1,25%"
"TAEE3","Taesa","189.200","11,83","-0,59%"
"DASA3","Dasa","185.600","7,25","-0,82%"
"FRAS3","Fras-le","180.200","15,67","+2,02%"
"ETER3","Eternit","177.200","7,15","+2,88%"
"TECN3","Technos","170.600","3,37","+0,60%"
"MELK3","Melnick","170.500","4,45","+1,14%"
"BMOB3","Bemobi","167.900","12,60","+2,27%"
"OIBR4","Oi","152.600","2,12","-0,47%"
"LPSB3","Lopes","150.600","1,96","-0,51%"
"CMIG3","CEMIG","149.600","15,09","+0,73%"
"KRSA3","Kora Saúde","144.100","0,91","-4,21%"
"RNEW3","Renova Energia","139.900","1,36","+3,82%"
"LUPA3","Lupatech","128.700","1,89","+4,42%"
"PFRM3","Profarma","110.800","4,80","+4,35%"
"EUCA4","Eucatex","106.200","16,06","+1,58%"
"ALPK3","Estapar","105.500","4,50","+2,04%"
"LOGG3","LOG CP","100.200","20,45","+1,24%"
"TGMA3","Tegma","99.200","25,72","+1,02%"
"UNIP6","Unipar","98.800","68,27","+0,50%"
"SYNE3","SYN","94.100","4,49","+3,22%"
"AALR3","Alliança","92.400","8,68","+3,21%"
"ITSA3","Itaúsa","81.000","10,43","+0,19%"
"IGTI3","Jereissati Participações","80.900","2,89","+0,35%"
"IGTI3","Iguatemi","80.900","2,89","+0,35%"
"SANB3","Banco Santander","78.800","13,73","+2,77%"
"SANB4","Banco Santander","77.100","15,41","+2,26%"
"CTNM4","Coteminas","74.000","1,38","-0,72%"
"DMVF3","D1000 Varejo Farma","73.300","5,75","-3,36%"
"CSUD3","CSU Cardsystem","68.700","18,49","+0,71%"
"ATOM3","ATOM","62.400","1,99","-2,45%"
"GOAU3","Metalúrgica Gerdau","61.000","10,33","+2,38%"
"TPIS3","Triunfo","60.100","3,75","+1,35%"
"VIVR3","Viver","58.000","3,88","-1,02%"
"RSID3","Rossi Residencial","54.500","3,60","-4,76%"
"DEXP3","Dexxos","52.700","12,11","+1,51%"
"BOBR4","Bombril","52.500","2,32","+4,04%"
"TCSA3","Tecnisa","50.900","2,97","-2,62%"
"BRKM3","Braskem","47.600","19,80","+7,20%"
"PTNT4","Pettenati","47.100","7,70","-1,66%"
"UCAS3","Unicasa","41.300","2,63","-0,38%"
"INEP3","Inepar","40.900","3,81","-2,31%"
"GGBR3","Gerdau","40.800","19,98","+2,88%"
"TFCO4","Track & Field","39.600","14,30","+2,14%"
"RPMG3","Refinaria de Manguinhos","39.300","2,07","+0,49%"
"BIOM3","Biomm","35.400","5,36","-1,47%"
"LAND3","Terra Santa","33.600","15,36","+0,52%"
"CTSA4","Santanense","33.200","1,75","+0,00%"
"PDTC3","Padtec","30.400","3,00","-0,33%"
"BRAP3","Bradespar","30.200","20,87","+2,81%"
"INEP4","Inepar","29.400","3,21","+2,56%"
"BPAC5","Banco BTG Pactual","27.600","8,92","-2,62%"
"CAMB3","Cambuci","26.800","11,20","+3,04%"
"LVTC3","WDC Networks","23.600","3,89","+0,00%"
"ELMD3","Eletromidia","23.200","17,00","-1,73%"
"COCE5","Coelce","22.000","41,64","+0,17%"
"LOGN3","Log-In","19.500","37,84","-1,59%"
"TEKA4","Teka","17.500","32,00","+19,85%"
"WEST3","Westwing","17.000","1,22","+0,83%"
"OSXB3","OSX Brasil","16.600","5,07","+4,75%"
"SNSY3","Sansuy","14.800","11,00","-0,81%"
"EALT4","Electro Aço Altona","14.500","10,00","+1,11%"
"JFEN3","João Fortes","11.600","1,82","+0,55%"
"ALLD3","Allied","10.100","6,83","+0,15%"
"NINJ3","GetNinjas","10.100","5,05","-0,20%"
"RAPT3","Randon","9.800","10,62","+1,53%"
"TASA3","Taurus","9.400","14,31","+0,42%"
"OFSA3","Ourofino Saúde Animal","8.600","20,75","-2,12%"
"ALUP4","Alupar","8.200","9,71","-0,10%"
"BMEB4","Banco Mercantil do Brasil","8.100","25,25","-1,83%"
"ALUP3","Alupar","7.200","9,71","-0,41%"
"ATMP3","Atma","6.700","3,01","+1,35%"
"CGRA4","Grazziotin","6.400","25,50","+1,03%"
"CEBR5","CEB","6.400","18,55","+3,06%"
"ALPA3","Alpargatas","6.000","9,59","+1,80%"
"DOTZ3","Dotz","5.700","7,38","+3,22%"
"BEES3","Banestes","5.500","9,59","-0,42%"
"CEDO3","Cedro Têxtil","5.300","24,84","+5,70%"
"FHER3","Fertilizantes Heringer","5.200","5,96","-0,33%"
"PMAM3","Paranapanema","4.800","3,79","+0,80%"
"FRIO3","Metalfrio","4.700","330,00","+6,45%"
"FRTA3","Pomi Frutas","4.700","1,49","-1,32%"
"EQPA3","Equatorial Energia Pará","4.500","8,13","+4,23%"
"ENGI3","Energisa","4.300","16,85","+1,38%"
"BEES4","Banestes","4.200","10,00","-0,50%"
"EPAR3","Embpar Participações","4.200","9,70","+2,65%"
"HAGA4","Haga","4.200","1,05","+1,94%"
"CEBR6","CEB","4.000","23,15","+0,17%"
"VSTE3","LE LIS BLANC","3.600","16,40","-2,38%"
"BAHI3","Bahema","3.500","6,79","+0,59%"
"BAZA3","Banco da Amazônia","3.400","88,30","+0,78%"
"TELB4","Telebras","3.400","10,81","-0,64%"
"TRPL3","Transmissão Paulista","3.300","31,50","-1,56%"
"NUTR3","Nutriplant","3.300","5,20","-1,89%"
"CEDO4","Cedro Têxtil","3.200","25,54","-2,70%"
"BPAC3","Banco BTG Pactual","3.200","18,45","+1,88%"
"BRSR3","Banrisul","3.200","14,79","+0,75%"
"UNIP3","Unipar","3.100","64,25","+0,74%"
"EMAE4","EMAE","3.000","60,50","+4,31%"
"WLMM4","WLM","3.000","28,44","-1,93%"
"ENGI4","Energisa","3.000","8,50","-0,58%"
"CLSC4","Celesc","2.900","66,15","+0,98%"
"HOOT4","Hotéis Othon","2.800","2,83","-4,07%"
"WHRL4","Whirlpool","2.700","4,58","+0,22%"
"CEBR3","CEB","2.600","20,36","+3,46%"
"ESTR4","Estrela","2.500","3,75","-1,57%"
"NORD3","Nordon","2.400","11,77","-10,97%"
"SNSY5","Sansuy","2.100","5,18","-1,52%"
"NEXP3","Brasil Brokers","2.000","4,75","-3,85%"
"CGAS5","Comgás","1.900","112,50","+0,00%"
"CGAS3","Comgás","1.900","101,00","-8,34%"
"MGEL4","Mangels","1.600","13,35","-5,25%"
"RSUL4","Metalúrgica Riosulense","1.500","78,25","+1,89%"
"TELB3","Telebras","1.500","15,19","+3,62%"
"CGRA3","Grazziotin","1.200","24,75","-2,33%"
"REDE3","Rede Energia","1.200","6,91","+0,58%"
"WHRL3","Whirlpool","1.200","4,27","+1,43%"
"RDNI3","RNI","1.000","4,31","-1,82%"
"HAGA3","Haga","1.000","2,40","-2,83%"
"CRPG5","Tronox Pigmentos","900","36,16","+0,19%"
"BSLI3","Banco de Brasília","800","12,76","-0,62%"
"MTSA4","METISA","700","47,98","+1,05%"
"GEPA3","Rio Paranapanema Energia","600","26,97","+0,11%"
"EUCA3","Eucatex","600","16,30","+1,56%"
"BSLI4","Banco de Brasília","600","11,66","-0,68%"
"EALT3","Electro Aço Altona","500","9,31","+0,11%"
"AFLT3","Afluente T","500","7,74","-1,65%"
"CRIV4","Alfa Financeira","500","6,20","-1,12%"
"DOHL4","Döhler","500","4,97","+0,00%"
"SCAR3","São Carlos","400","27,18","+1,61%"
"PTNT3","Pettenati","400","12,00","+0,67%"
"PINE3","PINE","400","4,49","+10,59%"
"RPAD6","Alfa Holdings","300","8,05","-0,12%"
"PLAS3","Plascar","300","7,00","+2,64%"
"CTSA3","Santanense","300","3,24","+2,21%"
"EQMA3B","Equatorial Maranhão","200","29,49","-1,04%"
"CSRN3","COSERN","200","28,40","+0,00%"
"BGIP3","Banese","200","27,05","-1,02%"
"GEPA4","Rio Paranapanema Energia","200","25,67","-0,04%"
"WLMM3","WLM","200","24,00","+0,00%"
"BMEB3","Banco Mercantil do Brasil","200","23,95","-3,43%"
"MNPR3","Minupar","200","20,08","+1,57%"
"BMIN3","Banco Mercantil de Investimentos","200","19,51","+0,98%"
"BRIV4","Alfa Investimento","200","11,19","+1,73%"
"IGTI4","Iguatemi","200","10,11","-0,88%"
"IGTI4","Jereissati Participações","200","10,11","-0,88%"
"CEEB3","COELBA","100","39,87","+0,94%"
"CRPG6","Tronox Pigmentos","100","36,49","+0,91%"
"BGIP4","Banese","100","25,80","-2,01%"
"LUXM4","Trevisa","100","15,89","-0,56%"
"BMIN4","Banco Mercantil de Investimentos","100","15,89","+6,57%"
"FESA3","Ferbasa","100","15,39","-0,71%"
"MAPT4","Cemepe","100","8,27","+0,00%"
"BDLL4","Bardella","100","8,01","+0,00%"
"MWET4","Wetzel","100","5,62","-1,23%"
"BMKS3","Monark","5","360,00","+2,83%"
"CRIV3","Alfa Financeira","15.000","6,10","+0,00%"
"BRIV3","Alfa Investimento","8.900","11,20","+0,36%"
"DEXP4","Dexxos","1.000","12,00","-2,83%"
"MNDL3","Mundial","900","39,60","-0,10%"
"APER3","Alper","700","43,28","-1,19%"
"PEAB3","Participações Aliança da Bahia","500","42,00","+0,00%"
"AVLL3","Alphaville","500","5,10","+2,41%"
"HBTS5","Habitasul","400","35,00","+6,06%"
"EKTR4","Elektro","300","39,03","+0,03%"
"CRPG3","Tronox Pigmentos","300","37,30","-9,00%"
"ELET5","Eletrobras","200","90,00","+0,00%"
"CLSC3","Celesc","200","65,02","-5,52%"
"BRGE8","Consórcio Alfa","200","11,47","-2,88%"
"CTNM3","Coteminas","200","9,65","-1,53%"
"ENMT4","Energisa MT","100","71,01","+0,00%"
"PEAB4","Participações Aliança da Bahia","100","45,00","+2,25%"
"CTKA3","Karsten","100","13,01","-12,27%"
"DMFN3","DM Financeira","100","12,50","-10,71%"
"BRGE3","Consórcio Alfa","100","11,70","-1,02%"
"BALM4","Baumer","100","10,30","+0,00%"
"RPAD5","Alfa Holdings","100","8,31","+1,34%"
"RPAD3","Alfa Holdings","1.200","8,30","-0,24%"
"MERC4","Mercantil do Brasil Financeira","200","11,00","+0,00%"
"JOPA3","Josapar","100","21,00","+0,00%"
"CTKA4","Karsten","100","17,20","+0,00%"
"MAPT3","Cemepe","100","12,00","+0,00%"
"UNIP5","Unipar","400","72,49","-0,67%"
"BNBR3","Banco do Nordeste","300","117,00","-0,02%"
"CPLE5","Copel","300","21,92","-1,31%"
"BRGE6","Consórcio Alfa","200","12,00","+0,08%"
"EQPA6","Equatorial Energia Pará","200","9,00","-1,21%"
"ENMT3","Energisa MT","100","75,50","+2,03%"
"GSHP3","General Shopping & Outlets","100","14,00","+0,00%"
"BAUH4","Excelsior","400","80,86","+0,00%"
"DTCY3","Dtcom","200","4,99","-0,20%"
"PATI3","Panatlântica","100","26,19","+0,73%"
"BRKM6","Braskem","100","14,03","-6,40%"
"HETA4","Hercules","3.600","6,59","+6,46%"
"EQPA7","Equatorial Energia Pará","500","7,50","-3,23%"
"MRSA3B","MRS Logística","400","23,15","-10,96%"
"CSRN5","COSERN","100","28,13","+0,46%"
"BRGE12","Consórcio Alfa","100","11,85","+3,77%"
"BRSR5","Banrisul","200","18,47","-0,11%"
"LIPR3","Eletropar","100","67,01","+0,00%"
"BRGE11","Consórcio Alfa","4.300","11,81","+3,51%"
"BRGE5","Consórcio Alfa","500","11,60","+0,00%"
"TKNO4","Tekno","200","69,90","+0,01%"
"EKTR3","Elektro","200","38,00","+0,03%"
"AHEB3","São Paulo Turismo","200","15,50","+0,00%"
"AHEB5","São Paulo Turismo","100","16,61","+0,00%"
"EQPA5","Equatorial Energia Pará","100","7,50","-2,98%"
"CALI3","Adolpho Lindenberg","500","17,50","-8,85%"
"BALM3","Baumer","100","11,70","+6,36%"
"SOND6","Sondotécnica","200","50,00","-13,78%"
"PATI4","Panatlântica","200","33,50","-1,47%"
"MRSA5B","MRS Logística","300","23,06","+0,00%"
"MRSA6B","MRS Logística","200","23,07","+0,04%"
"BRGE7","Consórcio Alfa","1.600","11,50","+6,28%"
"CBEE3","Ampla Energia","200","12,00","-7,69%"
"MOAR3","Monteiro Aranha","100","398,97","+2,83%"
"CEEB5","COELBA","100","36,85","+2,05%"
"DOHL3","Döhler","100","6,51","-7,00%"
"CEED4","CEEE D","200","22,00","+1,20%"
"CSRN6","COSERN","100","25,38","-2,38%"
"CEED3","CEEE D","100","22,90","-5,68%"
"BDLL3","Bardella","600","13,00","+18,18%"
"ESTR3","Estrela","100","8,00","-20,00%"
"USIM6","Usiminas","300","16,28","+8,46%"
"FIEI3","Fica","300","12,99","+8,25%"
"SOND5","Sondotécnica","100","54,00","+0,00%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","30,50","-1,61%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.600","48,97","+19,47%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"GPAR3","CELGPAR","100","50,00","+11,11%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"MWET3","Wetzel","100","13,30","+0,08%"
