,Ticker,FM,Tipo,Mod.,A/I/OTM,Strike,Distância % do Strike,Prêmio como % da última cotação,Último,Número de Negócios,Volume Negociado,Data/Hora,Vol. Implícita,Delta,Gamma,Theta,Vega,ativo
11,BBDCX170W2,,PUT,E,ITM,17.0,24.45,,,,,,,,,,,BBDC4
12,BBDCX175W2,,PUT,E,ITM,17.5,28.11,,,,,,,,,,,BBDC4
13,BBDCX180W2,,PUT,E,ITM,18.0,31.77,,,,,,,,,,,BBDC4
14,BBDCX185W2,,PUT,E,ITM,18.5,35.43,,,,,,,,,,,BBDC4
15,BBDCX190W2,,PUT,E,ITM,19.0,39.09,,,,,,,,,,,BBDC4
16,BBDCX195W2,,PUT,E,ITM,19.5,42.75,,,,,,,,,,,BBDC4
17,BBDCX200W2,,PUT,E,ITM,20.0,46.41,,,,,,,,,,,BBDC4
18,BBDCX205W2,,PUT,E,ITM,20.5,50.07,,,,,,,,,,,BBDC4
0,BBDCL120W2,,CALL,A,ITM,12.0,-12.15,,,,,,,,,,,BBDC4
1,BBDCL125W2,,CALL,A,ITM,12.5,-8.49,,,,,,,,,,,BBDC4
2,BBDCX145W2,,PUT,E,ITM,14.5,6.15,,,,,,,,,,,BBDC4
3,BBDCX150W2,,PUT,E,ITM,15.0,9.81,,,,,,,,,,,BBDC4
4,BBDCX155W2,,PUT,E,ITM,15.5,13.47,,,,,,,,,,,BBDC4
0,BBDCL130W2,,CALL,A,ITM,13.0,-4.83,,,,,,,,,,,BBDC4
1,BBDCX130W2,,PUT,E,OTM,13.0,-4.83,,,,,,,,,,,BBDC4
2,BBDCL135W2,,CALL,A,ATM,13.5,-1.17,5.05,0.69,2.0,488.0,06/11/2024,,,,,,BBDC4
3,BBDCX135W2,,PUT,E,ATM,13.5,-1.17,1.61,0.22,1.0,154.0,06/11/2024,,,,,,BBDC4
4,BBDCL140W2,,CALL,A,OTM,14.0,2.49,,,,,,,,,,,BBDC4
5,BBDCX140W2,,PUT,E,ITM,14.0,2.49,,,,,,,,,,,BBDC4
0,BBDCX120W2,,PUT,E,OTM,12.0,-12.15,,,,,,,,,,,BBDC4
1,BBDCX125W2,,PUT,E,OTM,12.5,-8.49,,,,,,,,,,,BBDC4
2,BBDCL145W2,,CALL,A,OTM,14.5,6.15,,,,,,,,,,,BBDC4
3,BBDCL150W2,,CALL,A,OTM,15.0,9.81,,,,,,,,,,,BBDC4
4,BBDCL155W2,,CALL,A,OTM,15.5,13.47,,,,,,,,,,,BBDC4
0,BBDCX900W2,,PUT,E,OTM,9.0,-34.11,,,,,,,,,,,BBDC4
1,BBDCX920W2,,PUT,E,OTM,9.2,-32.65,,,,,,,,,,,BBDC4
2,BBDCX940W2,,PUT,E,OTM,9.4,-31.19,,,,,,,,,,,BBDC4
3,BBDCX960W2,,PUT,E,OTM,9.6,-29.72,,,,,,,,,,,BBDC4
4,BBDCX980W2,,PUT,E,OTM,9.8,-28.26,,,,,,,,,,,BBDC4
5,BBDCX100W2,,PUT,E,OTM,10.0,-26.79,,,,,,,,,,,BBDC4
