TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VCRI11;8,52;0,085000;13,67;9,68;0,88;291.215,37;4,07;;;172.130.738,18;12.030,00;Ativa;17.773.297,00
VCRR11;68,24;0,750000;12,28;128,14;0,53;266.477,41;1,43;;;256.289.858,84;4.205,00;Ativa;2.000.000,00
VDSV11;0,00;;0,00;1.002,62;;;11,24;;;20.091.571,32;77,00;Ativa;20.039,00
VERE11;233,49;3,500000;13,90;364,84;0,64;;2,07;1,63;;219.379.887,36;53,00;Ativa;601.308,00
VGHF11;9,49;0,100000;13,70;9,25;1,03;3.766.033,07;0,65;;;871.108.846,88;328.058,00;Ativa;94.187.891,00
VGIP11;88,95;0,760000;11,93;93,17;0,95;1.682.926,44;0,65;-8,70;-7,32;1.098.211.712,82;88.746,00;Ativa;11.787.247,00
VGIR11;9,73;0,110000;14,90;9,76;1,00;4.044.461,19;5,93;25,14;4,16;1.007.494.696,52;230.050,00;Ativa;103.220.707,00
VIDS11;0,00;30,166587;0,00;899,95;;;9,22;;;80.548.577,32;199,00;Ativa;89.503,00
VIFI11;8,20;0,070000;9,94;9,34;0,88;257.335,96;5,90;2,99;-55,54;75.546.620,72;6.380,00;Ativa;8.089.190,00
VILG11;93,80;0,640000;8,52;114,09;0,82;3.166.240,52;1,40;3,63;-8,84;1.711.089.166,83;162.062,00;Ativa;14.997.396,00
VINO11;7,75;0,058000;9,42;10,84;0,71;1.061.451,37;2,06;-15,17;-14,66;897.853.061,93;147.056,00;Ativa;82.826.295,00
VISC11;120,14;1,000000;8,84;133,71;0,90;6.675.246,89;24,16;20,83;1,00;2.840.393.253,01;275.919,00;Ativa;21.243.688,00
VIUR11;7,86;0,072000;10,99;8,96;0,88;361.831,44;3,93;;;241.376.040,40;49.606,00;Ativa;26.946.220,00
VJFD11;0,00;0,750000;0,00;136,27;;;0,81;;;664.482.753,93;97,00;Ativa;4.876.129,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
VLJS11;1.141,14;28,819221;0,00;947,11;1,20;;1,38;;;24.689.896,25;9,00;Passiva;26.068,00
VLOL11;98,00;1,856441;3,86;111,06;0,88;160.238,13;16,46;14,56;-1,35;198.219.080,15;3.127,00;Passiva;1.784.828,00
VOTS11;82,00;0,950000;16,55;94,23;0,87;13.015,89;3,70;12,47;-2,33;78.013.384,44;691,00;Ativa;827.913,00
VPSI11;0,00;0,234003;0,00;21,42;;;1,00;23,41;;172.913.310,96;53,00;Passiva;8.071.897,00
VRTA11;87,59;0,750000;11,38;93,19;0,94;2.334.723,48;6,63;-7,27;-8,94;1.453.127.352,44;125.012,00;Ativa;15.592.424,00
VSEC11;0,21;0,080000;285,71;0,00;;2,50;;-0,62;-86,74;0,00;0,00;Ativa;0,00
VSHO11;83,07;0,700000;10,24;101,06;0,82;69.763,48;1,02;19,51;0,56;212.095.101,51;3.835,00;Ativa;2.098.800,00
VSLH11;4,20;0,040000;11,90;10,54;0,40;270.947,33;1,08;;;314.866.175,27;88.373,00;Ativa;29.864.091,00
VTLT11;94,61;0,890000;11,17;112,52;0,84;127.598,33;2,95;5,36;-5,61;237.986.610,72;6.052,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;100,07;;;0,67;;;66.034.622,16;1,00;Ativa;659.857,00
VTPL11;0,00;5,110000;0,00;76,92;;;3,51;;;106.633.273,72;53,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VTVI11;0,00;;0,00;34,65;;;1,48;;;61.715.316,97;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;8,33;;;31,20;;;861.916,93;2,00;Ativa;103.500,00
VVCO11;13,67;0,323281;0,00;13,54;1,01;269.291,15;0,91;;24,17;134.040.330,48;3.658,00;Ativa;9.900.000,00
VVCR11;20,89;0,180000;15,09;22,28;0,94;142.139,48;2,82;-15,80;-36,49;41.212.338,83;2.880,00;Ativa;1.849.829,00
VVPR11;101,50;0,892340;0,00;98,03;1,04;;1,27;;-0,25;226.032.234,18;1.372,00;Ativa;2.305.771,00
VVRI11;97,00;1,300000;12,47;95,32;1,02;224.016,88;0,57;;;38.128.982,33;118,00;Ativa;400.000,00
VXXV11;1.020,00;10,760000;0,00;1.132,21;0,90;4.547.925,00;0,06;;;302.805.133,65;22,00;Ativa;267.446,00
WHGR11;9,76;0,100000;12,50;9,97;0,98;810.269,41;2,01;;;250.257.228,99;12.596,00;Ativa;25.089.531,00
WPLZ11;65,23;0,410000;7,96;87,03;0,75;4.207,70;96,12;10,66;-3,71;92.645.263,58;1.869,00;Passiva;1.064.549,00
WSEC11;83,76;1,000000;17,42;101,02;0,83;16.708,58;10,41;;;24.815.360,36;467,00;Ativa;245.651,00
WTSP11B;36,00;0,330000;8,68;72,72;0,50;3.852,00;1,07;14,92;-13,29;72.179.699,45;201,00;Ativa;992.565,00
XBXO11;0,00;;0,00;94,78;;;0,10;;;288.362.989,58;6,00;Ativa;3.042.600,00
XPCI11;88,94;0,760000;12,35;93,32;0,95;1.834.852,67;4,27;-0,48;-1,90;812.071.438,19;77.328,00;Ativa;8.701.551,00
XPCM11;10,10;0,020000;9,51;40,88;0,25;36.989,56;6,41;-34,84;-41,46;98.718.676,31;23.938,00;Passiva;2.414.570,00
XPIN11;80,50;0,630000;9,66;102,66;0,78;1.237.560,04;2,50;1,05;-11,68;734.050.595,91;47.837,00;Ativa;7.150.422,00
XPLG11;109,74;0,780000;8,37;110,14;1,00;8.872.497,67;11,04;7,69;-3,08;3.282.308.371,27;314.755,00;Ativa;29.613.233,00
XPML11;115,50;0,900000;8,65;111,91;1,03;14.752.945,07;16,83;22,47;-0,16;3.449.365.012,08;396.609,00;Ativa;30.822.213,00
XPPR11;21,52;0,100000;6,51;69,48;0,31;410.350,30;2,72;-39,04;-35,24;508.348.739,96;55.515,00;Ativa;7.316.171,00
XPSF11;8,34;0,075000;10,90;8,47;0,98;633.888,96;1,05;0,90;-4,58;366.899.960,44;59.102,00;Ativa;43.302.140,00
YUFI11;79,99;0,389271;3,49;102,44;0,78;255,00;2,78;;;50.464.698,72;60,00;Ativa;492.650,00
ZAVI11;127,98;1,240000;10,57;134,97;0,95;335.984,07;4,04;;;158.366.546,99;4.790,00;Ativa;1.173.322,00
ZIFI11;800,00;3,304958;0,00;1.201,62;0,67;40.094,06;0,02;;;57.059.012,53;67,00;Ativa;47.485,00
