TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NPTN;16,01;;-130,37;5,64;2,63;30,04;-0,35;-1,89;43,31;-660,48;39,49;-0,32;2,47;5,50;-12,49;2,54;-4,33;-2,02;-2,50;0,47;0,53;1,07;-6,74;;;2,84;-0,12;;859.559.289,00
NPV;10,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NQP;11,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NR;7,35;;43,14;1,51;0,97;18,48;4,45;1,94;9,59;19,86;1,09;0,09;0,84;2,83;-2,20;2,62;3,49;2,26;4,63;0,65;0,35;1,17;-4,56;-14,77;;4,88;0,17;;626.232.495,00
NRBO;3,37;;-1,33;0,99;0,73;;;;-1,33;0,47;1,80;-1,34;;1,00;-61,46;3,78;-74,74;-54,74;-74,74;0,73;0,27;0,00;;;;3,40;-2,54;;16.533.220,00
NRC;33,92;4,36;26,13;16,53;6,61;62,30;27,48;20,84;17,32;20,56;0,74;0,61;5,45;-68,32;-8,25;0,67;63,26;25,30;37,17;0,40;0,60;1,21;4,42;0,61;;2,05;1,30;;809.141.248,00
NRG;69,88;2,20;-57,68;5,00;0,56;7,97;1,58;-0,87;7,47;63,50;31,48;4,92;0,50;64,04;-0,89;1,02;-8,67;-0,97;2,49;0,11;0,89;1,11;24,91;;;13,97;-1,21;;14.536.507.480,00
NRGX;20,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NRIM;46,00;5,24;9,96;1,08;0,09;0,00;21,34;16,04;6,54;-16,06;-23,55;-3,39;1,60;;-0,09;;10,82;0,90;11,10;0,08;0,92;0,06;10,44;4,89;;42,68;4,62;;252.981.600,00
NRIX;13,36;;-5,64;4,83;2,61;100,00;-178,82;-178,93;-5,96;-2,85;1,69;-1,45;10,09;4,99;-13,22;2,86;-85,77;-46,29;-85,77;0,54;0,46;0,26;15,50;;;3,43;-2,94;;656.654.688,00
NRK;10,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NRP;88,93;3,37;5,74;;1,44;89,00;74,63;68,37;4,82;5,91;0,65;;3,92;211,36;-1,55;1,11;;25,17;141,33;0,00;0,28;0,37;7,69;14,82;;0,00;15,49;;1.152.541.693,00
NRT;6,86;19,10;2,93;122,42;64,73;100,00;95,85;95,85;2,93;2,89;-0,05;-1,89;2,81;122,66;;2,12;4.176,89;2.208,52;4.176,89;0,53;0,47;23,04;25,05;27,00;;0,06;2,34;;63.047.516,00
NRUC;24,57;;;;;0,00;93,42;21,93;;2,48;2,48;1,47;;;;;13,87;1,10;22,30;0,08;0,92;0,05;4,47;1,96;;;;;0,00
NS;22,04;7,26;10,19;;0,57;36,94;31,85;16,75;3,47;11,92;6,56;;1,71;-82,30;-0,59;0,85;;5,59;15,08;0,00;0,79;0,33;1,46;5,87;;0,00;2,16;;2.788.785.116,00
NSC;241,50;2,24;29,86;4,27;1,31;66,50;25,02;15,03;12,57;23,06;5,13;1,22;4,49;85,37;-1,42;1,24;14,29;4,39;8,51;0,31;0,69;0,29;1,19;-7,28;;56,58;8,09;;54.550.382.250,00
NSCO;9,35;;-21,60;-14,79;0,60;25,25;3,91;-7,03;4,70;100,50;61,72;;1,52;14,41;-0,69;1,45;-68,49;-2,77;-2,59;-0,04;1,04;0,39;;;;-0,63;-0,43;;459.615.640,55
NSCO.WS;2,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSEC;16,36;;50,34;1,03;0,28;26,22;2,53;1,24;7,50;24,87;0,15;0,01;0,63;;-0,28;;2,04;0,55;2,66;0,27;0,73;0,44;-0,21;-28,26;;15,93;0,32;;41.433.336,00
