TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CSMC11;0,00;8,195922;0,00;1.091,22;;;1,44;;;2.058.374.378,06;1,00;;1.886.309,00
CTEM11;7,48;;0,00;;;10,88;;;;;;;0,00
CTNP11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
CTXT11;4,83;0,010000;0,00;16,71;0,29;1.317,68;1,52;-23,80;-25,86;94.619.368,35;2.178,00;;5.661.158,00
CVPR11;0,00;0,858820;0,00;100,64;;;10,77;-6,78;;64.992.083,27;3,00;;645.783,00
CXAG11;75,12;0,720000;11,58;110,69;0,68;389.853,33;3,08;0,94;5,71;231.406.642,63;11.340,00;;2.090.621,00
CXCE11;40,03;0,459937;13,97;63,11;0,63;23.112,43;7,65;4,00;-2,93;108.101.430,53;2.835,00;;1.712.950,00
CXCI11;66,16;0,750000;13,91;83,15;0,80;94.806,81;6,58;-1,55;2,91;171.101.290,36;5.374,00;;2.057.726,00
CXCO11;69,00;0,750000;12,78;95,65;0,72;213.041,76;1,77;0,36;6,31;375.382.084,34;12.003,00;;3.924.500,00
CXRI11;65,30;0,630000;11,21;85,10;0,77;37.749,67;6,62;1,60;3,21;134.096.301,65;1.783,00;;1.575.760,00
CXTL11;250,00;0,943865;2,81;409,77;0,61;11.974,42;3,28;-32,44;2,71;21.962.684,82;562,00;;53.597,00
CYCR11;8,75;0,106000;14,54;9,44;0,93;465.842,05;2,05;0,32;13,34;345.052.936,12;16.858,00;;36.549.445,00
CYLD11;80,01;19,355643;24,19;129,43;0,62;670.044,41;28,68;;;160.738.242,07;116,00;;1.241.847,00
DAMA11;6,19;0,065558;13,61;7,44;0,83;2.338,62;2,64;;;41.189.388,34;908,00;;5.537.031,00
DAMT11B;11,45;0,582451;8,59;14,34;0,80;23,00;5,27;;-13,35;254.940.086,47;576,00;;17.779.747,00
DAYM11;3,99;0,037000;9,77;9,90;0,40;3.290,43;3,11;;-6,62;169.233.417,59;922,00;;17.100.937,00
DEVA11;17,90;0,300000;20,56;94,99;0,19;514.244,71;6,11;-13,96;-22,52;1.334.067.797,89;74.905,00;;14.044.908,00
DLMT11;0,00;0,000332;0,00;0,50;;;1,23;-19,71;;6.663.597,32;9,00;;13.225.796,00
DMAC11;13,00;4,894618;0,00;4,99;2,61;;105,14;;;778.257,90;2.352,00;;156.108,00
DOMC11;439,00;;0,00;104,27;4,21;;1,58;;;550.560.743,88;1.085,00;;5.280.066,00
DOVL11B;784,35;9,027475;9,43;583,04;1,35;0,00;5,74;1,25;-13,23;38.717.375,14;101,00;;66.406,00
DPRO11;5,35;0,060000;12,34;9,37;0,57;338,10;1,36;0,80;-10,37;46.867.527,41;787,00;;5.003.220,00
DRIT11;8,68;0,520000;0,00;133,56;0,07;1.246,00;23,67;8,33;-56,44;61.876.341,24;338,00;Ativa;463.277,00
DVFF11;5,27;0,065000;13,66;8,49;0,62;51.010,19;5,64;-3,95;-3,14;93.513.518,13;2.182,00;;11.009.500,00
DVLP11;150,29;;0,00;147,47;1,02;0,00;4,51;;;104.965.851,52;162,00;;711.756,00
DVLT11;103,41;;0,00;103,47;1,00;0,00;17,53;;;42.188.591,11;403,00;;407.744,00
EAGL11;0,00;;0,00;104,27;;;-0,03;;;193.812.411,56;14,00;;1.858.798,00
EDFO11;144,97;0,830000;7,26;190,62;0,76;18.297,68;12,44;-20,79;-8,51;56.899.819,30;448,00;;298.500,00
EDGA11;13,16;0,040000;2,37;42,73;0,31;36.394,71;0,00;-12,17;-8,56;162.882.793,64;3.549,00;;3.812.055,00
EDGE11;946,66;77,330000;16,54;1.234,05;0,77;157,56;28,24;;;14.110.278,03;127,00;;11.434,00
EGDB11;1.272,64;;0,00;1.006,18;1,26;35.643,74;6,19;;;109.431.634,84;2.792,00;;108.759,00
EGYR11;2,98;;0,00;132,25;0,02;519,00;0,00;;-36,79;100.818.968,57;89,00;;762.353,00
EIRA11;104,55;1,140000;12,77;103,68;1,01;3.772,39;17,37;;;35.901.915,52;242,00;;346.289,00
ELDO11;762,38;0,440000;16,28;1.721,11;0,44;;0,17;-0,12;;1.354.953.137,68;112,00;;787.256,00
EMET11;8,96;0,100000;18,08;9,43;0,95;287.927,90;2,08;;;47.171.380,07;242,00;;5.000.000,00
EQIR11;8,35;0,100000;14,44;9,69;0,86;59.169,33;3,85;0,12;12,72;105.679.976,17;9.594,00;;10.909.315,00
ERCR11;4.641,78;1.868,750000;0,00;10.568,62;0,44;179.298,53;1,06;;;25.111.040,17;9,00;;2.376,00
ERPA11;126,09;0,940000;8,88;165,59;0,76;2.103,60;1,00;7,25;9,84;82.946.204,77;841,00;;500.922,00
ESTQ11;0,00;;0,00;0,02;;;99,31;;;989.236,50;5,00;;65.361.974,00
EURO11;309,02;2,450000;8,38;394,11;0,80;48.615,62;6,75;5,39;19,02;161.540.825,25;1.943,00;;409.883,00
EXES11;9,74;0,130000;16,02;9,80;0,99;94.203,57;1,02;17,03;19,00;138.137.672,46;2.258,00;;14.101.455,00
FAED11;152,49;1,775891;13,40;224,56;0,68;189.204,24;1,55;3,95;8,05;155.481.948,48;3.952,00;;692.377,00
FAGL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
FAMB11;712,00;45,426656;0,00;972,61;0,73;5.380,67;0,21;45,38;-13,90;119.182.038,58;1.907,00;;122.538,00
FAOE11;926,90;11,160900;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
FARU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
FATN11;79,94;0,800000;12,01;96,92;0,82;2.866.767,62;1,49;-1,97;3,65;655.034.714,91;29.245,00;;6.758.261,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;;1.327.300,00
FCFL11;122,50;0,930000;8,97;125,09;0,98;191.366,05;0,48;3,10;11,32;434.561.216,17;2.847,00;;3.474.010,00
FGPM11;0,00;;0,00;84,57;;;5,88;;;58.358.289,75;1.144,00;;690.040,00
FIGS11;50,02;0,500000;11,56;70,10;0,71;91.565,14;0,65;3,06;3,09;199.771.293,69;11.268,00;;2.850.000,00
FIIB11;440,51;1,940000;8,74;592,08;0,74;272.986,62;0,71;-3,56;3,68;405.576.425,35;14.156,00;;685.000,00
FIIC11;0,00;;0,00;0,00;;;;;;0,00;1,00;;500.000.005.738,00
FIIP11;132,44;1,420000;12,72;200,06;0,66;414.576,71;2,33;-0,86;-6,66;185.491.815,14;5.988,00;;927.162,00
FINF11;0,00;0,234290;0,00;110,17;;;1,22;-8,10;;90.352.448,20;4,00;;820.112,00
FISC11;58,59;0,600000;10,14;111,15;0,53;8.839,20;0,88;10,19;;188.957.666,37;221,00;;1.699.996,00
FISD11;149,33;6,526269;0,00;45,12;3,31;;2,87;;;48.395.099,56;22,00;;1.072.588,00
FIVN11;3,02;;0,00;5,98;0,51;3.382,52;0,03;;-10,13;56.309.306,79;4.311,00;;9.412.630,00
FLCR11;92,50;1,150000;12,92;94,05;0,98;241.888,00;10,19;0,80;13,76;70.709.624,35;2.683,00;;751.844,00
FLFL11;0,00;0,180000;0,00;137,68;;;0,89;;-100,00;475.591.739,84;1,00;;3.454.262,00
FLMA11;148,60;1,380000;9,29;250,72;0,59;46.936,81;0,99;6,36;11,02;346.156.033,36;10.833,00;;1.380.670,00
FLNR11;1.273,88;;0,00;1.213,55;1,05;;0,03;;;154.345.470,35;125,00;;127.184,00
FLRP11;20,23;0,150000;8,75;21,02;0,96;11.465,57;2,01;2,37;9,10;161.831.456,47;1.893,00;;7.698.953,00
FMOF11;35,02;0,100000;36,01;47,49;0,74;802,50;15,27;54,00;12,43;24.126.952,25;391,00;;508.008,00
FOFT11;123,00;1,900000;0,00;7,00;17,57;;2,33;-47,71;;250.509.603,82;11.454,00;Ativa;35.769.919,00
FPAB11;198,03;1,800000;10,43;357,89;0,55;21.545,21;5,14;11,39;11,00;268.415.948,26;653,00;;750.000,00
FPNG11;465,06;4,830000;0,00;216,77;2,15;49,68;4,79;15,77;;659.714.472,19;140,00;;3.043.447,00
