Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
LOGG3;23.15;9.76;0.57;10.363;3,32%;0.339;7.04;14.68;-1.19;26.79;26.04;70,59%;106,85%;1.67;2,40%;5,86%;8680070.0;3754330000.0;0.52;15,28%
UNIP3;50.64;9.78;2.28;1.287;4,96%;0.814;2.58;7.96;-5.77;8.47;6.23;16,17%;13,22%;2.73;16,08%;23,37%;381048.0;2532350000.0;1.04;12,95%
UNIP5;50.78;9.81;2.29;1.291;5,44%;0.817;2.59;7.98;-5.79;8.49;6.25;16,17%;13,22%;2.73;16,08%;23,37%;27942.3;2532350000.0;1.04;12,95%
VIVO4;71.8;9.81;2.93;1.491;0,00%;1.282;-31.87;6.78;-5.17;7.22;7.22;22,01%;15,20%;0.89;23,92%;29,88%;0.0;9816290000.0;0.35;13,06%
BALM4;10.25;9.82;0.67;0.6;7,58%;0.393;0.85;4.47;1.32;2.64;2.16;13,40%;4,50%;2.86;12,19%;6,82%;3262.3;149905000.0;0.13;2,84%
MILS3;11.27;9.86;1.82;1.957;2,88%;0.899;3.75;5.59;-8.12;6.52;4.48;35,01%;19,88%;2.55;22,82%;18,47%;12315100.0;1511550000.0;0.78;33,42%
UNIP6;51.06;9.86;2.3;1.298;5,41%;0.821;2.6;8.03;-5.82;8.53;6.28;16,17%;13,22%;2.73;16,08%;23,37%;7978510.0;2532350000.0;1.04;12,95%
VULC4;18.0;9.89;2.47;1.738;0,00%;1.701;3.49;9.24;4.09;8.96;7.55;18,82%;17,58%;3.04;24,19%;24,97%;0.0;2002700000.0;0.21;25,98%
WLMM4;31.9;9.89;1.59;0.423;4,44%;1.316;2.81;7.56;3.32;7.36;7.13;5,60%;4,28%;5.56;19,07%;16,12%;20587.6;728425000.0;0.03;26,88%
UGPA3;23.22;9.93;1.87;0.206;2,80%;0.707;3.87;4.84;-4.57;6.78;5.58;4,25%;2,14%;1.68;18,99%;18,87%;93676100.0;13828200000.0;1.04;12,80%
RECV3;21.0;9.95;1.32;2.17;9,54%;0.895;112.1;9.08;-6.02;9.35;4.78;23,90%;21,81%;1.05;11,35%;13,32%;43448700.0;4651430000.0;0.19;37,67%
