;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
175;HAAA11;LAJES CORPORATIVAS;33,06;940,83;0,44;0,08;0,24 %;0,67 %;1,23 %;2,87 %;0,67 %;0,21 %;0,24 %;2,25 %;-16,80 %;-16,60 %;5,51 %;261.327.889,02;75,64;0,44;0,11 %;-15,64 %;-15,55 %;-14,18 %;16;48,75;249;N/A;N/A;N/A
176;HABT11;PAPÉIS;79,08;1.287.662,13;0,83;0,90;1,10 %;3,36 %;6,87 %;14,05 %;1,12 %;1,15 %;1,17 %;12,86 %;-4,45 %;-3,39 %;10,20 %;774.895.405,03;95,35;0,83;1,00 %;-4,44 %;-3,49 %;13,00 %;14;11,72;70.562;N/A;N/A;N/A
177;HBCR11;INDEFINIDO;136,00;9.547.040,96;1,05;0,80;0,59 %;1,35 %;1,35 %;3,44 %;0,45 %;0,23 %;0,29 %;4,08 %;1,33 %;1,92 %;4,59 %;207.880.357,67;N/A;N/A;N/A;N/A;N/A;N/A;5;19,67;37;N/A;N/A;N/A
178;HBRH11;LAJES CORPORATIVAS;90,80;14.627,00;0,78;0,50;0,57 %;1,20 %;6,56 %;9,22 %;0,40 %;1,09 %;0,77 %;8,97 %;-0,05 %;0,52 %;-3,07 %;315.853.933,93;111,11;0,82;0,05 %;-1,85 %;-1,80 %;6,10 %;19;13,98;766;N/A;N/A;N/A
179;HCHG11;PAPÉIS;70,00;15.604,61;0,74;0,85;1,13 %;3,48 %;6,59 %;12,22 %;1,16 %;1,10 %;1,02 %;11,52 %;10,13 %;11,38 %;12,40 %;114.721.892,20;95,60;0,73;0,78 %;-5,46 %;-4,72 %;10,04 %;14;30,87;839;N/A;N/A;N/A
180;HCRA11;INDEFINIDO;45,00;12,61;N/A;0,44;1,01 %;2,14 %;3,17 %;5,42 %;0,71 %;0,53 %;0,45 %;5,42 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;86,34;0;N/A;N/A;N/A
181;HCRI11;HOSPITALAR;271,50;39.769,43;0,84;2,65;0,98 %;2,83 %;5,64 %;11,54 %;0,94 %;0,94 %;0,96 %;9,44 %;-3,86 %;-2,92 %;2,02 %;64.274.800,15;321,37;0,84;0,82 %;4,35 %;5,21 %;12,60 %;15;16,89;3.144;N/A;N/A;N/A
182;HCTR11;PAPÉIS;28,13;839.082,17;0,25;0,39;1,33 %;3,90 %;8,22 %;14,49 %;1,30 %;1,37 %;1,21 %;12,53 %;-1,22 %;0,10 %;-3,15 %;2.471.556.821,77;111,92;0,25;0,35 %;-7,79 %;-7,47 %;9,09 %;14;24,42;157.846;N/A;N/A;N/A
183;HDEL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;116,00;30,26;1,41;10,10;9,18 %;0,00 %;9,18 %;9,18 %;0,00 %;1,84 %;1,84 %;9,18 %;0,00 %;0,00 %;N/A;69.313.209,45;N/A;N/A;N/A;N/A;N/A;N/A;14;29,48;114;N/A;N/A;N/A
184;HFOF11;FUNDO DE FUNDOS;62,68;1.951.517,61;0,83;0,58;0,89 %;2,70 %;5,40 %;10,48 %;0,90 %;0,90 %;0,87 %;9,59 %;-3,42 %;-2,56 %;1,08 %;1.733.552.296,81;75,23;0,83;0,84 %;-6,99 %;-6,21 %;-2,32 %;14;10,46;73.438;N/A;N/A;N/A
185;HGAG11;INDEFINIDO;15,06;3.891,87;0,63;0,15;0,94 %;3,10 %;6,56 %;11,75 %;1,03 %;1,09 %;0,98 %;11,01 %;4,36 %;5,34 %;-16,72 %;5.883.955,08;23,70;0,64;0,76 %;0,00 %;0,00 %;0,00 %;0;66,49;1.254;N/A;N/A;N/A
186;HGBL11;MISTO;10,20;2.566.609,74;1,04;0,15;1,46 %;4,46 %;9,51 %;11,32 %;1,49 %;1,59 %;1,42 %;11,32 %;1,78 %;3,27 %;20,68 %;119.846.614,87;N/A;N/A;N/A;N/A;N/A;N/A;15;14,38;2.080;N/A;N/A;N/A
187;HGBS11;SHOPPINGS;194,38;2.844.663,43;0,88;1,60;0,81 %;2,37 %;4,81 %;9,80 %;0,79 %;0,80 %;0,82 %;8,88 %;-1,89 %;-1,09 %;-0,02 %;2.845.680.091,44;223,54;0,87;0,72 %;0,73 %;1,45 %;12,32 %;29;9,66;126.061;N/A;N/A;N/A
188;HGCR11;PAPÉIS;96,01;2.887.386,00;0,96;0,95;0,97 %;2,85 %;5,67 %;11,39 %;0,95 %;0,95 %;0,95 %;10,39 %;-2,59 %;-1,64 %;8,76 %;1.536.385.882,07;99,65;0,96;0,95 %;-1,30 %;-0,36 %;13,31 %;14;8,22;101.241;N/A;N/A;N/A
189;HGFF11;FUNDO DE FUNDOS;75,86;399.650,48;0,86;0,70;0,93 %;2,70 %;5,28 %;10,26 %;0,90 %;0,88 %;0,86 %;9,39 %;-2,37 %;-1,46 %;3,26 %;247.366.418,46;86,38;0,88;0,81 %;-0,53 %;0,28 %;5,63 %;14;14,15;15.624;N/A;N/A;N/A
190;HGIC11;PAPÉIS;95,96;2.533,83;0,82;1,10;1,17 %;3,29 %;6,56 %;11,80 %;1,10 %;1,09 %;0,98 %;9,78 %;-3,29 %;-2,16 %;3,16 %;52.529.518,08;113,53;0,85;0,88 %;-1,04 %;-0,17 %;18,69 %;16;41,88;445;N/A;N/A;N/A
191;HGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;153,09;8.131.429,52;0,97;1,10;0,71 %;2,10 %;4,19 %;8,29 %;0,70 %;0,70 %;0,69 %;7,59 %;-1,41 %;-0,71 %;7,01 %;5.317.675.430,12;157,39;0,97;0,70 %;2,18 %;2,90 %;19,29 %;1;9,18;491.093;N/A;N/A;N/A
192;HGPO11;LAJES CORPORATIVAS;118,50;1.367.816,00;0,34;57,05;18,58 %;19,75 %;21,43 %;24,56 %;6,58 %;3,57 %;2,05 %;24,01 %;4,88 %;24,36 %;42,00 %;604.409.957,59;344,77;0,34;0,49 %;15,17 %;15,73 %;37,91 %;16;63,06;12.657;N/A;N/A;N/A
193;HGRE11;LAJES CORPORATIVAS;102,50;1.539.407,52;0,68;0,78;0,73 %;2,18 %;4,84 %;8,88 %;0,73 %;0,81 %;0,74 %;8,26 %;2,84 %;3,59 %;-8,07 %;1.798.913.854,46;152,22;0,67;0,51 %;-2,98 %;-2,48 %;-2,18 %;30;13,61;148.653;N/A;N/A;N/A
194;HGRS11;IMÓVEIS RESIDENCIAIS;N/A;N/A;N/A;29,32;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;92,86;N/A;0,00 %;0,00 %;0,00 %;0,00 %;14;N/A;8.102;N/A;N/A;N/A
195;HGRU11;MISTO;117,23;3.935.463,74;0,94;0,90;0,74 %;2,12 %;4,48 %;9,39 %;0,71 %;0,75 %;0,78 %;8,74 %;0,22 %;0,96 %;1,32 %;2.307.516.174,68;125,36;0,94;0,68 %;2,01 %;2,70 %;16,75 %;82;10,96;203.665;N/A;N/A;N/A
196;HILG11;INDEFINIDO;198,61;8,61;1,05;2,31;1,15 %;1,32 %;1,32 %;1,32 %;0,44 %;0,22 %;0,11 %;1,32 %;-0,17 %;0,98 %;0,98 %;99.489.283,12;N/A;N/A;N/A;N/A;N/A;N/A;15;5,59;51;N/A;N/A;N/A
197;HLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;82,92;101.442,04;0,71;0,40;0,48 %;1,43 %;3,17 %;6,98 %;0,48 %;0,53 %;0,58 %;6,23 %;-1,93 %;-1,46 %;0,93 %;491.078.055,17;115,55;0,72;0,35 %;-0,79 %;-0,45 %;10,37 %;1;14,51;3.791;N/A;N/A;N/A
198;HOFC11;LAJES CORPORATIVAS;26,11;99.085,35;0,36;0,21;0,65 %;0,00 %;0,65 %;2,55 %;0,00 %;0,65 %;0,21 %;2,00 %;73,83 %;74,96 %;64,89 %;265.466.649,70;N/A;N/A;N/A;N/A;N/A;N/A;18;42,22;5.419;N/A;N/A;N/A
199;HOSI11;IMÓVEIS RESIDENCIAIS;86,51;167.681,09;0,97;0,65;0,73 %;2,16 %;4,44 %;10,15 %;0,72 %;0,74 %;0,85 %;9,18 %;-6,66 %;-5,98 %;22,50 %;52.651.182,05;91,81;0,94;0,78 %;-0,27 %;0,51 %;6,33 %;14;38,70;1.357;N/A;N/A;N/A
200;HPDP11;SHOPPINGS;88,79;159.021,48;0,93;0,53;0,59 %;1,82 %;3,04 %;6,76 %;0,61 %;0,51 %;0,56 %;6,13 %;7,32 %;7,95 %;8,29 %;313.879.623,22;95,46;0,93;0,56 %;6,95 %;7,54 %;7,30 %;15;21,06;404;N/A;N/A;N/A
201;HRDF11;FUNDO DE DESENVOLVIMENTO;3,00;200,96;0,34;6,80;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;13.386.517,62;N/A;N/A;N/A;N/A;N/A;N/A;14;61,68;1.040;N/A;N/A;N/A
202;HREC11;PAPÉIS;8,08;422.173,48;0,91;0,08;0,98 %;2,85 %;5,72 %;11,50 %;0,95 %;0,95 %;0,96 %;10,45 %;-2,96 %;-2,01 %;11,92 %;458.480.070,24;8,89;0,91;0,90 %;-90,00 %;-89,91 %;-88,89 %;14;12,74;2.889;N/A;N/A;N/A
203;HRES11;IMÓVEIS RESIDENCIAIS;149,25;477,60;1,21;13,26;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;57.885.154,62;N/A;N/A;N/A;N/A;N/A;N/A;14;63,16;132;N/A;N/A;N/A
204;HSAF11;PAPÉIS;77,80;545.620,52;0,88;0,80;1,01 %;2,96 %;6,22 %;12,59 %;0,99 %;1,04 %;1,05 %;11,61 %;-2,13 %;-1,14 %;9,19 %;223.253.839,82;88,37;0,88;0,91 %;-3,25 %;-2,38 %;6,50 %;14;13,75;10.447;N/A;N/A;N/A
205;HSLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;78,85;686.758,00;0,76;0,74;0,89 %;2,63 %;5,20 %;10,01 %;0,88 %;0,87 %;0,83 %;9,17 %;-2,71 %;-1,85 %;3,25 %;1.321.935.965,91;104,42;0,76;0,71 %;-0,50 %;0,21 %;1,60 %;19;14,20;40.130;N/A;N/A;N/A
206;HSML11;SHOPPINGS;87,06;3.859.841,04;0,81;0,80;0,92 %;2,63 %;5,19 %;10,18 %;0,88 %;0,87 %;0,85 %;9,36 %;-4,84 %;-3,96 %;5,82 %;2.241.021.066,58;107,70;0,81;0,74 %;10,37 %;11,19 %;17,01 %;21;11,89;197.993;N/A;N/A;N/A
207;HSRE11;MISTO;95,99;2.139.855,13;1,02;0,96;1,00 %;2,97 %;5,34 %;8,96 %;0,99 %;0,89 %;0,75 %;8,37 %;1,01 %;2,02 %;1,78 %;841.264.384,55;94,54;1,02;1,02 %;-1,56 %;-0,56 %;5,76 %;40;19,50;318;N/A;N/A;N/A
208;HTMX11;HOTÉIS;182,65;1.143.490,26;1,35;2,37;1,25 %;3,44 %;6,66 %;15,10 %;1,15 %;1,11 %;1,26 %;12,92 %;-7,20 %;-6,04 %;27,31 %;201.235.071,98;133,77;1,37;1,59 %;-4,69 %;-3,17 %;12,05 %;35;35,33;35.682;N/A;N/A;N/A
209;HUCG11;HOSPITALAR;93,99;330,61;0,91;0,22;0,20 %;0,00 %;0,00 %;0,40 %;0,00 %;0,00 %;0,40 %;0,20 %;8,00 %;8,22 %;8,22 %;116.423.380,11;N/A;N/A;N/A;N/A;N/A;N/A;1;65,97;243;N/A;N/A;N/A
210;HUSC11;HOSPITALAR;104,99;3.421,96;0,68;0,90;0,83 %;2,50 %;4,91 %;8,04 %;0,83 %;0,82 %;0,67 %;7,24 %;1,39 %;2,23 %;0,83 %;131.815.148,83;151,76;0,69;0,59 %;3,41 %;4,03 %;12,54 %;2;38,12;774;N/A;N/A;N/A
211;HUSI11;HOSPITALAR;1.211,43;58,10;1,02;8,59;0,71 %;1,41 %;2,76 %;6,29 %;0,47 %;0,46 %;0,52 %;6,29 %;-0,70 %;0,00 %;0,67 %;138.341.329,03;1.188,89;1,02;0,66 %;19,71 %;20,50 %;26,75 %;14;109,15;104;N/A;N/A;N/A
212;IAAG11;INDEFINIDO;9,05;124.493,57;0,94;0,09;0,98 %;2,85 %;5,97 %;12,90 %;0,95 %;1,00 %;1,08 %;12,01 %;-8,62 %;-7,73 %;15,83 %;101.569.873,43;9,72;0,93;1,13 %;0,00 %;0,00 %;0,00 %;0;17,44;11.310;N/A;N/A;N/A
213;IAGR11;INDEFINIDO;3,08;12.674,87;0,32;0,01;0,19 %;1,02 %;2,61 %;6,65 %;0,34 %;0,44 %;0,67 %;6,65 %;-7,72 %;-7,54 %;-18,46 %;25.488.404,79;9,11;0,34;0,15 %;0,00 %;0,00 %;0,00 %;0;57,39;4.082;N/A;N/A;N/A
214;IBCR11;PAPÉIS;55,94;212.231,83;0,58;0,75;1,21 %;3,69 %;7,33 %;14,95 %;1,23 %;1,22 %;1,25 %;12,27 %;-4,73 %;-3,58 %;-4,88 %;91.689.464,62;95,67;0,58;0,89 %;1,86 %;2,77 %;11,46 %;14;10,15;3.927;N/A;N/A;N/A
215;IBFF11;FUNDO DE FUNDOS;66,40;162.549,50;1,04;14,79;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;6,25 %;0,00 %;0,00 %;N/A;118.155.565,38;14,78;4,49;100,08 %;-79,09 %;-58,15 %;-58,47 %;14;4,20;8.102;N/A;N/A;N/A
216;ICNE11;IMÓVEIS RESIDENCIAIS;681,16;N/A;0,84;0,00;0,00 %;4,60 %;4,60 %;4,60 %;1,53 %;0,77 %;0,38 %;4,60 %;-4,60 %;-4,60 %;-2,49 %;96.766.916,78;N/A;N/A;N/A;N/A;N/A;N/A;14;236,81;5;N/A;N/A;N/A
217;ICRI11;MISTO;94,42;1.583.993,83;0,95;1,45;1,49 %;3,47 %;6,36 %;9,07 %;1,16 %;1,06 %;1,13 %;9,07 %;1,77 %;3,28 %;13,85 %;386.606.521,66;N/A;N/A;N/A;N/A;N/A;N/A;14;11,50;6.536;N/A;N/A;N/A
218;IDFI11;INDEFINIDO;2,00;20.078,22;0,46;1,56;78,04 %;177,38 %;422,76 %;706,80 %;59,13 %;70,46 %;58,90 %;1.043,04 %;-54,34 %;-18,70 %;44.259,43 %;8.860.886,88;4,31;0,46;117,17 %;-92,30 %;-83,27 %;-86,36 %;1;601,30;564;N/A;N/A;N/A
219;IDGR11;MISTO;3,00;2.142,91;0,92;0,73;19,16 %;33,02 %;48,78 %;78,33 %;11,01 %;8,13 %;6,53 %;120,74 %;-31,03 %;-17,82 %;14,12 %;2.964.298,56;N/A;N/A;N/A;N/A;N/A;N/A;15;110,02;134;N/A;N/A;N/A
220;IDUA11;IMÓVEIS COMERCIAIS - OUTROS;65,31;N/A;0,84;1,22;1,82 %;1,82 %;8,16 %;8,16 %;0,61 %;1,36 %;1,17 %;8,16 %;0,00 %;0,00 %;N/A;31.175.521,50;N/A;N/A;N/A;N/A;N/A;N/A;14;38,26;2;N/A;N/A;N/A
221;IFRA11;INDEFINIDO;100,40;2.589.528,61;N/A;1,12;1,07 %;3,08 %;6,20 %;12,46 %;1,03 %;1,03 %;1,04 %;11,38 %;-2,64 %;-1,60 %;15,99 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;12,25;0;N/A;N/A;N/A
222;IFRI11;MISTO;94,97;1.990.803,78;N/A;1,02;0,97 %;1,94 %;3,75 %;3,75 %;0,65 %;0,94 %;0,94 %;3,75 %;2,12 %;3,11 %;7,59 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;13,39;0;N/A;N/A;N/A
223;IMOV11;INDEFINIDO;N/A;N/A;N/A;0,09;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;488.606.252,78;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;13.027;N/A;N/A;N/A
224;INFB11;INDEFINIDO;103,27;1.014,96;N/A;1,00;0,98 %;0,98 %;0,98 %;0,98 %;0,98 %;0,98 %;0,98 %;0,98 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;11,01;0;N/A;N/A;N/A
225;INLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;77,43;150.272,30;0,77;0,80;1,03 %;2,90 %;5,48 %;10,48 %;0,97 %;0,91 %;0,87 %;9,63 %;-4,02 %;-3,03 %;0,29 %;449.412.490,03;N/A;N/A;N/A;N/A;N/A;N/A;1;9,34;20.028;N/A;N/A;N/A
226;INRD11;FUNDO DE DESENVOLVIMENTO;70,25;150.769,83;0,59;0,60;0,85 %;2,50 %;4,93 %;8,93 %;0,83 %;0,82 %;0,74 %;8,32 %;-1,47 %;-0,64 %;-6,36 %;132.831.292,81;N/A;N/A;N/A;N/A;N/A;N/A;19;10,99;8.127;N/A;N/A;N/A
227;IRDM11;PAPÉIS;67,75;4.505.988,04;0,80;0,80;1,24 %;3,31 %;6,50 %;12,61 %;1,10 %;1,08 %;1,05 %;10,58 %;-7,73 %;-6,58 %;0,32 %;3.072.336.137,13;84,33;0,80;0,83 %;-9,13 %;-8,37 %;-4,70 %;1;12,76;285.619;N/A;N/A;N/A
228;IRIM11;INDEFINIDO;68,68;84.060,30;0,80;0,82;1,24 %;3,42 %;6,87 %;13,26 %;1,14 %;1,15 %;1,11 %;10,95 %;-8,20 %;-7,06 %;-3,90 %;166.458.869,59;86,70;0,79;0,92 %;-10,91 %;-10,09 %;-6,67 %;14;13,91;2.571;N/A;N/A;N/A
229;ISCJ11;PAPÉIS;90,00;336,52;0,64;1,20;1,34 %;2,67 %;2,67 %;2,67 %;0,89 %;0,45 %;0,27 %;2,67 %;0,00 %;1,34 %;1,34 %;44.132.160,92;N/A;N/A;N/A;N/A;N/A;N/A;14;180,64;48;N/A;N/A;N/A
230;ITIP11;PAPÉIS;70,50;64.614,91;0,98;0,64;0,89 %;2,78 %;5,54 %;11,12 %;0,93 %;0,92 %;0,93 %;10,22 %;0,38 %;1,27 %;5,43 %;54.442.126,99;72,77;0,97;0,96 %;-9,14 %;-8,27 %;-6,08 %;14;14,55;10.463;N/A;N/A;N/A
231;ITIT11;FUNDO DE FUNDOS;71,30;118.641,04;0,91;0,60;0,85 %;2,46 %;4,94 %;9,96 %;0,82 %;0,82 %;0,83 %;9,08 %;-4,87 %;-4,07 %;7,91 %;70.254.910,95;78,02;0,91;0,77 %;-1,19 %;-0,43 %;6,25 %;14;11,05;11.572;N/A;N/A;N/A
232;ITRI11;SHOPPINGS;80,65;2.263.573,13;0,85;0,85;1,03 %;3,04 %;5,65 %;6,20 %;1,01 %;0,94 %;1,03 %;6,20 %;-3,88 %;-2,89 %;-11,08 %;595.419.672,31;N/A;N/A;N/A;N/A;N/A;N/A;14;17,61;18.494;N/A;N/A;N/A
233;IVCI11;PAPÉIS;100,00;N/A;0,98;2,40;2,40 %;2,40 %;2,40 %;2,40 %;2,40 %;2,40 %;2,40 %;2,40 %;0,00 %;0,00 %;N/A;50.896.662,53;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;16;N/A;N/A;N/A
234;JASC11;IMÓVEIS COMERCIAIS - OUTROS;103,00;11.065,00;0,96;0,61;0,60 %;1,14 %;1,14 %;1,14 %;0,38 %;0,19 %;0,10 %;1,14 %;-11,35 %;-10,82 %;-10,82 %;374.269.912,45;N/A;N/A;N/A;N/A;N/A;N/A;3;278,62;170;N/A;N/A;N/A
235;JBFO11;PAPÉIS;81,49;82,00;1,03;0,52;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;100.943.386,61;N/A;N/A;N/A;N/A;N/A;N/A;14;368,18;366;N/A;N/A;N/A
236;JCCJ11;PAPÉIS;155,00;1.349.195,00;0,84;0,45;0,30 %;0,92 %;1,33 %;2,26 %;0,92 %;0,22 %;0,19 %;2,13 %;-1,32 %;-1,02 %;25,83 %;306.760.802,13;N/A;N/A;N/A;N/A;N/A;N/A;14;211,12;121;N/A;N/A;N/A
237;JCIN11;FUNDO DE FUNDOS;150,78;1.928.420,24;0,99;0,61;0,40 %;0,80 %;0,80 %;0,80 %;0,80 %;0,80 %;0,80 %;0,80 %;-0,40 %;-0,00 %;-0,00 %;200.431.899,36;N/A;N/A;N/A;N/A;N/A;N/A;14;6,24;5;N/A;N/A;N/A
238;JFLL11;IMÓVEIS RESIDENCIAIS;72,90;86.976,96;0,69;0,60;0,86 %;2,58 %;5,14 %;10,19 %;0,86 %;0,86 %;0,85 %;9,34 %;-0,16 %;0,70 %;5,29 %;155.977.275,05;103,94;0,70;0,58 %;2,93 %;3,53 %;12,50 %;3;21,70;3.301;N/A;N/A;N/A
239;JGPX11;INDEFINIDO;63,58;673.740,52;0,69;0,77;1,13 %;3,83 %;7,82 %;15,28 %;1,28 %;1,30 %;1,27 %;14,25 %;0,47 %;1,61 %;-14,69 %;196.721.344,82;91,87;0,69;1,19 %;-4,27 %;-3,14 %;7,40 %;0;18,92;1;N/A;N/A;N/A
240;JMBI11;OUTROS;N/A;N/A;N/A;1,00;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;0;N/A;N/A;N/A
241;JPPA11;PAPÉIS;81,16;233.999,91;0,84;1,05;1,29 %;3,74 %;7,40 %;14,34 %;1,25 %;1,23 %;1,20 %;13,15 %;0,07 %;1,36 %;5,84 %;87.613.040,60;96,91;0,84;1,03 %;-1,43 %;-0,42 %;12,07 %;14;11,17;7.775;N/A;N/A;N/A
242;JRDM11;SHOPPINGS;85,90;610.682,00;1,35;7,83;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;5,00 %;0,00 %;0,00 %;N/A;118.155.565,38;88,84;0,97;0,45 %;-1,16 %;-0,71 %;7,23 %;14;9,34;8.102;N/A;N/A;N/A
243;JSAF11;FUNDO DE FUNDOS;82,63;2.195.484,91;0,88;0,91;1,07 %;3,01 %;6,23 %;12,39 %;1,00 %;1,04 %;1,03 %;11,36 %;-6,97 %;-5,97 %;-2,57 %;725.104.829,12;93,53;0,88;0,97 %;-0,44 %;0,53 %;8,53 %;14;18,76;16.077;N/A;N/A;N/A
244;JSCR11;PAPÉIS;86,70;291.752,65;0,92;0,92;1,03 %;2,84 %;2,84 %;2,84 %;0,95 %;0,95 %;0,95 %;2,84 %;-1,26 %;-0,25 %;-4,93 %;211.947.626,51;N/A;N/A;N/A;N/A;N/A;N/A;14;32,16;2.886;N/A;N/A;N/A
245;JSRE11;MISTO;60,14;2.257.322,70;0,55;0,48;0,77 %;2,30 %;4,50 %;8,40 %;0,77 %;0,75 %;0,70 %;7,76 %;0,35 %;1,13 %;-5,42 %;2.274.545.126,59;109,53;0,55;0,44 %;-3,05 %;-2,62 %;1,64 %;20;18,56;98.538;N/A;N/A;N/A
246;JURO11;INDEFINIDO;101,60;5.957.597,04;N/A;1,00;0,94 %;1,89 %;5,20 %;12,42 %;0,63 %;0,87 %;1,04 %;10,97 %;1,25 %;2,20 %;14,84 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;9,05;0;N/A;N/A;N/A
247;KCRE11;INDEFINIDO;8,74;540.821,87;0,89;0,08;0,91 %;2,68 %;5,90 %;11,89 %;0,89 %;0,98 %;0,99 %;10,95 %;-7,08 %;-6,23 %;8,55 %;354.575.759,97;9,85;0,89;0,91 %;-89,94 %;-89,85 %;-89,74 %;14;10,84;14.678;N/A;N/A;N/A
248;KDIF11;INDEFINIDO;128,63;4.160.194,57;N/A;1,20;0,90 %;2,54 %;5,00 %;10,21 %;0,85 %;0,83 %;0,85 %;9,44 %;-0,14 %;0,76 %;11,68 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;10,99;0;N/A;N/A;N/A
249;KEVE11;FUNDO DE DESENVOLVIMENTO;1.059,00;30.376,70;1,54;45,36;4,17 %;7,98 %;11,64 %;20,67 %;2,66 %;1,94 %;1,72 %;20,67 %;-2,86 %;1,19 %;5,68 %;101.782.098,54;689,11;1,54;6,83 %;-26,08 %;-21,03 %;-24,07 %;14;35,75;449;N/A;N/A;N/A
250;KFOF11;FUNDO DE FUNDOS;76,77;2.152.323,83;0,83;0,75;0,98 %;2,74 %;5,31 %;10,59 %;0,91 %;0,89 %;0,88 %;9,71 %;-9,48 %;-8,59 %;-7,70 %;636.861.679,93;90,79;0,85;0,83 %;-0,09 %;0,74 %;6,35 %;14;14,87;23.422;N/A;N/A;N/A
251;KINP11;FUNDO DE DESENVOLVIMENTO;9,82;38.394,20;0,15;2,90;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;19,95 %;0,00 %;0,00 %;N/A;118.155.565,38;N/A;N/A;0,00 %;-100,00 %;0,00 %;0,00 %;14;12,74;8.102;N/A;N/A;N/A
252;KISU11;FUNDO DE FUNDOS;7,19;1.009.337,17;0,89;0,07;0,89 %;2,63 %;5,32 %;10,90 %;0,88 %;0,89 %;0,91 %;9,96 %;-5,73 %;-4,89 %;2,79 %;367.089.798,19;8,31;0,87;0,84 %;-4,70 %;-3,90 %;-1,68 %;14;12,83;123.921;N/A;N/A;N/A
253;KIVO11;PAPÉIS;75,12;740.240,43;0,84;0,90;1,17 %;3,42 %;7,08 %;14,78 %;1,14 %;1,18 %;1,23 %;13,31 %;-1,45 %;-0,29 %;3,12 %;197.458.225,61;N/A;N/A;N/A;N/A;N/A;N/A;14;18,45;6.934;N/A;N/A;N/A
254;KNCA11;INDEFINIDO;92,51;5.580.218,22;0,90;1,02;1,09 %;3,15 %;6,35 %;12,83 %;1,05 %;1,06 %;1,07 %;11,83 %;-8,29 %;-7,29 %;4,41 %;2.219.249.291,94;102,74;0,90;1,03 %;0,54 %;1,58 %;13,03 %;0;12,08;70.170;N/A;N/A;N/A
255;KNCR11;PAPÉIS;102,95;12.461.352,35;1,02;1,02;0,99 %;2,83 %;5,75 %;11,82 %;0,94 %;0,96 %;0,99 %;10,78 %;-0,72 %;0,26 %;18,91 %;7.052.609.623,01;101,49;1,01;0,94 %;0,73 %;1,68 %;15,09 %;14;7,57;376.600;N/A;N/A;N/A
256;KNHF11;INDEFINIDO;89,24;5.494.179,26;0,90;0,90;1,01 %;2,90 %;5,76 %;11,32 %;0,97 %;0,96 %;0,94 %;10,26 %;-4,70 %;-3,73 %;-0,24 %;1.947.912.831,06;N/A;N/A;N/A;N/A;N/A;N/A;16;11,87;36.895;N/A;N/A;N/A
257;KNHY11;PAPÉIS;101,56;4.432.963,09;1,01;1,00;0,97 %;2,91 %;6,07 %;12,85 %;0,97 %;1,01 %;1,07 %;11,77 %;-2,11 %;-1,16 %;18,93 %;2.837.586.758,00;100,73;1,01;1,02 %;3,05 %;4,10 %;17,59 %;14;6,73;28.698;N/A;N/A;N/A
