;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
72;BTML11;LAJES CORPORATIVAS;103,03;N/A;0,89;0,85;0,83 %;1,65 %;1,65 %;1,65 %;0,55 %;0,28 %;0,21 %;1,65 %;-0,82 %;0,01 %;0,01 %;131.121.732,66;N/A;N/A;N/A;N/A;N/A;N/A;2;11,36;1;N/A;N/A;N/A
73;BTRA11;INDEFINIDO;41,77;208.195,96;0,37;0,30;0,79 %;2,14 %;3,99 %;9,96 %;0,71 %;0,67 %;0,83 %;8,98 %;-10,42 %;-9,71 %;-27,46 %;372.405.944,37;110,68;0,38;0,27 %;-20,20 %;-19,99 %;13,93 %;20;30,22;14.991;N/A;N/A;N/A
74;BTSG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;159,05;90,00;1,09;0,95;0,59 %;1,18 %;2,40 %;3,73 %;0,39 %;0,40 %;0,31 %;3,06 %;-0,01 %;0,58 %;7,92 %;112.590.011,96;145,27;1,09;0,65 %;5,54 %;6,23 %;16,99 %;15;54,95;110;N/A;N/A;N/A
75;BTSI11;MISTO;111,60;24,39;1,04;0,75;0,67 %;1,33 %;1,33 %;1,33 %;0,44 %;0,22 %;0,11 %;1,33 %;-0,66 %;0,00 %;0,00 %;452.623.315,75;N/A;N/A;N/A;N/A;N/A;N/A;1;32,74;174;N/A;N/A;N/A
76;BTWR11;FUNDO DE DESENVOLVIMENTO;105,49;37.594,30;0,93;0,65;0,62 %;1,12 %;1,12 %;2,25 %;0,37 %;0,19 %;0,19 %;1,69 %;-11,68 %;-11,13 %;-11,13 %;92.150.899,10;113,87;0,93;0,49 %;1,66 %;2,16 %;10,38 %;15;58,58;137;N/A;N/A;N/A
77;BTYU11;INCORPORAÇÕES;11,10;712.646,13;1,08;0,17;1,66 %;5,03 %;5,03 %;5,03 %;1,68 %;1,26 %;1,26 %;5,03 %;2,43 %;4,13 %;4,95 %;206.103.559,97;N/A;N/A;N/A;N/A;N/A;N/A;14;35,22;62;N/A;N/A;N/A
78;BZEL11;MISTO;N/A;N/A;N/A;5,09;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;507.408.095,47;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;3;N/A;N/A;N/A
79;CACR11;PAPÉIS;99,97;1.770.176,83;1,02;1,32;1,30 %;3,81 %;7,97 %;16,52 %;1,27 %;1,33 %;1,38 %;15,05 %;-3,92 %;-2,67 %;21,64 %;476.881.341,47;98,60;1,01;1,33 %;-4,76 %;-3,50 %;34,78 %;14;11,47;25.148;N/A;N/A;N/A
80;CARE11;MISTO;1,51;92.309,04;0,21;0,01;0,23 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,36 %;-2,63 %;-2,41 %;-7,39 %;250.342.547,29;1,60;0,94;0,10 %;-0,24 %;-0,14 %;3,56 %;14;38,08;11.584;N/A;N/A;N/A
81;CBOP11;LAJES CORPORATIVAS;25,90;16.241,30;0,35;0,05;0,21 %;0,59 %;1,91 %;4,30 %;0,59 %;0,32 %;0,36 %;3,91 %;-4,53 %;-4,33 %;-18,48 %;101.697.279,41;71,87;0,36;0,07 %;-2,64 %;-2,57 %;-13,18 %;15;22,18;2.634;N/A;N/A;N/A
