TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DASA3;7,55;;-6,74;0,72;0,21;28,78;7,35;-5,93;5,44;14,01;8,58;1,13;0,40;3,28;-0,30;1,27;-10,61;-3,11;4,96;0,29;0,71;0,52;31,03;;3.039.795,75;10,55;-1,12;-0,05;5.683.638.822,20
DESK3;12,87;0,15;16,63;1,18;0,50;63,04;33,72;9,69;4,78;7,00;2,22;0,55;1,61;-21,12;-0,58;0,84;7,08;3,03;13,70;0,43;0,56;0,31;;;2.404.698,92;10,94;0,77;0,18;1.483.600.163,76
DEXP3;12,11;3,23;7,14;1,65;0,80;20,55;15,24;8,86;4,15;3,70;-0,45;-0,18;0,63;1,79;-2,32;3,17;23,11;11,23;19,07;0,49;0,42;1,27;34,10;14,48;1.644.265,83;7,34;1,70;0,37;1.137.869.010,30
DEXP4;12,00;4,12;7,07;1,63;0,79;20,55;15,24;8,86;4,11;3,70;-0,45;-0,18;0,63;1,77;-2,30;3,17;23,11;11,23;19,07;0,49;0,42;1,27;34,10;14,48;31.099,35;7,34;1,70;0,36;1.137.869.010,30
DIRR3;21,60;2,18;12,13;1,94;0,52;34,87;20,76;13,70;8,01;7,95;-0,05;-0,01;1,66;1,55;-0,98;3,56;15,96;4,30;12,34;0,27;0,71;0,31;23,53;;34.913.303,17;11,15;1,78;0,12;3.747.600.000,00
DMMO11;0,34;;-49,97;-0,36;0,53;54,54;8,16;-1,10;6,75;32,11;-2,85;;0,55;1,78;-1,29;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;;-0,93;-0,01;0,49;949.254.731,04
DMMO3;1,76;;-258,65;-1,88;2,76;54,54;8,16;-1,10;34,96;32,11;-2,85;;2,85;9,24;-6,66;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;;-0,93;-0,01;2,52;949.254.731,04
DMVF3;6,07;;20,39;0,36;0,20;31,90;2,47;0,90;7,45;6,84;-0,61;-0,03;0,18;4,34;-0,29;1,19;1,75;0,99;4,49;0,57;0,43;1,10;319,38;;355.458,46;17,03;0,30;-0,78;307.159.250,94
DOHL3;6,51;;-52,79;0,70;0,50;19,20;-1,75;-1,53;-46,11;-48,23;-4,98;0,08;0,81;1,11;-1,11;5,15;-1,33;-0,94;-1,75;0,70;0,30;0,61;6,68;;651,00;9,24;-0,12;0,37;461.955.255,75
DOHL4;5,07;;-41,11;0,55;0,39;19,20;-1,75;-1,53;-35,91;-48,23;-4,98;0,08;0,63;0,86;-0,87;5,15;-1,33;-0,94;-1,75;0,70;0,30;0,61;6,68;;5.919,56;9,24;-0,12;0,29;461.955.255,75
DOTZ3;7,16;;-1,14;-0,43;0,32;86,00;-61,23;-59,93;-1,11;-1,12;-0,01;;0,68;-0,51;-0,62;0,44;-37,49;-27,83;73,51;-0,74;1,74;0,46;3,79;;88.500,21;-16,78;-6,29;0,18;94.827.433,80
DTCY3;5,00;;81,73;-33,63;7,92;2,55;-3,77;8,68;-188,03;-277,80;-2,07;;7,09;-41,75;-10,60;0,57;-41,15;9,69;45,96;-0,24;1,24;1,12;-9,85;-26,48;6.557,13;-0,15;0,06;-0,70;81.613.383,00
DTCY4;62,60;;1.023,21;-421,03;99,15;2,55;-3,77;8,68;-2.354,08;-277,80;-2,07;;88,82;-522,74;-132,70;0,57;-41,15;9,69;45,96;-0,24;1,24;1,12;-9,85;-26,48;;-0,15;0,06;-8,71;81.613.383,00
DXCO3;7,64;2,82;7,72;0,98;0,38;33,51;18,39;10,95;4,60;7,87;3,27;0,70;0,85;5,20;-0,53;1,34;12,66;4,91;10,71;0,39;0,61;0,45;16,29;34,44;23.039.424,25;7,81;0,99;-0,28;6.269.126.119,44
EALT3;10,15;2,12;6,76;0,99;0,42;22,37;10,77;7,08;4,44;6,63;2,19;0,49;0,48;21,52;-0,67;1,05;14,61;6,15;13,65;0,42;0,58;0,87;23,92;1,96;7.039,75;10,28;1,50;-0,31;228.375.000,00
EALT4;10,15;2,33;6,76;0,99;0,42;22,37;10,77;7,08;4,44;6,63;2,19;0,49;0,48;21,52;-0,67;1,05;14,61;6,15;13,65;0,42;0,58;0,87;23,92;1,96;89.274,25;10,28;1,50;-0,31;228.375.000,00
ECOR3;8,82;0,95;10,96;2,23;0,26;37,28;32,78;6,92;2,31;7,18;4,86;4,68;0,76;-6,36;-0,31;0,81;20,34;2,36;10,51;0,12;0,87;0,34;14,60;7,38;23.470.716,79;3,96;0,80;0,04;6.141.667.855,68
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;;3,62;1,87;0,53;51,75;70,35;52,14;2,69;3,96;1,26;0,88;1,89;5,17;-0,69;1,74;51,67;14,56;23,54;0,28;0,72;0,28;6,73;14,58;;157,45;81,35;0,01;2.840.511.499,76
EEEL4;410,00;;5,04;2,60;0,73;51,75;70,35;52,14;3,74;3,96;1,26;0,88;2,63;7,19;-0,96;1,74;51,67;14,56;23,54;0,28;0,72;0,28;6,73;14,58;;157,45;81,35;0,01;2.840.511.499,76
