TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PTVCB;23,30;;7,89;0,85;0,18;38,39;9,23;7,63;6,52;6,68;0,16;0,02;0,60;;-0,18;;10,79;2,24;8,20;0,21;0,79;0,29;10,83;-28,13;;27,37;2,95;;311.724.361,52
PTVE;14,68;2,72;-12,02;2,02;0,41;12,34;0,26;-3,82;4,22;399,85;225,20;2,60;0,46;3,15;-0,55;1,95;-16,77;-3,38;-0,02;0,20;0,80;0,89;-3,52;-11,64;;7,28;-1,22;;2.619.728.208,00
PTY;13,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PUBM;15,32;;262,73;2,69;1,27;61,83;1,67;1,15;17,21;141,83;-40,08;-0,59;3,03;4,56;-5,61;1,56;1,03;0,48;1,03;0,47;0,53;0,42;;;;5,68;0,06;;777.676.904,00
PUK;21,87;;;;;;;;;;;-0,06;;;;0,04;0,00;0,00;;0,09;0,91;0,00;;-25,02;;12,56;0,00;;30.067.634.889,00
PULM;1,81;;-0,41;0,33;0,18;100,00;-238,89;-238,89;-0,45;0,92;1,32;-1,08;0,97;0,35;-0,49;5,24;-81,76;-44,20;-81,76;0,54;0,46;0,19;78,50;;;5,44;-4,45;;6.610.663,00
PUMP;8,40;;8,00;0,90;0,63;31,76;9,62;7,10;2,87;5,95;0,06;0,01;0,57;12,16;-0,83;1,28;11,27;7,86;10,86;0,70;0,30;1,11;5,44;-30,60;;9,32;1,05;;925.996.680,00
PUYI;5,92;;64,01;7,20;4,93;65,70;32,02;24,29;46,99;41,55;-7,01;-1,04;15,55;8,44;-35,70;3,10;11,24;7,70;12,55;0,68;0,32;0,32;-8,84;;;0,82;0,09;;357.063.024,00
PVAC;30,66;;-1,66;4,17;0,65;83,63;-105,53;-111,38;-2,55;-2,82;-1,07;2,54;1,85;-11,36;-0,77;0,72;-251,37;-39,34;-62,10;0,16;0,84;0,35;-2,19;;;7,35;-18,47;;646.567.278,00
PVBC;11,25;;18,54;0,91;0,11;0,00;18,03;11,28;10,63;-6,84;-18,44;-1,45;2,09;;-0,11;;4,93;0,59;4,25;0,12;0,88;0,05;20,73;;;12,31;0,61;;198.921.375,00
PVG;15,05;;-80,53;3,33;2,28;33,25;8,37;-5,75;18,45;52,46;-2,83;-0,17;4,63;49,73;-2,88;1,28;-4,13;-2,83;-2,05;0,69;0,31;0,49;;;;4,52;-0,19;;2.828.453.355,00
PVH;123,21;0,12;13,85;1,45;0,66;56,99;9,43;5,76;6,29;10,63;2,18;0,38;0,80;14,65;-0,94;1,18;10,50;4,75;8,48;0,45;0,55;0,83;0,24;-17,92;;84,75;8,90;;7.347.936.375,00
PVL;1,70;21,75;4,05;0,98;0,98;100,00;91,38;91,38;4,05;3,95;-0,10;-0,02;3,70;42,12;-1,01;;24,28;24,28;24,28;1,00;0,00;0,27;14,47;-21,33;;1,73;0,42;;56.100.000,00
PWFL;3,01;;-23,27;1,39;0,52;50,02;-1,45;-3,64;15,73;-59,55;-1,12;0,03;0,85;3,24;-0,84;1,71;-5,99;-2,23;-2,75;0,37;0,35;0,61;26,97;;;2,16;-0,13;;112.009.023,00
PWOD;21,76;5,88;10,02;0,89;0,07;0,00;33,23;16,82;4,49;3,35;-1,72;-0,30;1,68;;-0,07;;8,92;0,72;7,36;0,08;0,92;0,04;3,93;12,26;;24,36;2,17;;155.879.936,00
PWR;196,44;0,17;40,98;4,77;1,88;14,41;5,64;3,57;16,76;29,26;3,34;0,61;1,46;11,22;-3,38;1,61;11,63;4,58;8,89;0,39;0,61;1,28;12,52;11,53;;41,21;4,79;;28.539.765.756,00
PXD;230,32;2,73;10,54;2,37;1,48;56,38;34,11;26,22;5,67;8,85;0,75;0,22;2,76;-108,05;-1,60;0,85;22,47;14,04;18,88;0,62;0,38;0,54;35,73;56,60;;97,25;21,86;;53.808.072.392,00
PXLW;1,47;;-3,42;5,14;0,82;45,51;-45,37;-43,13;-3,92;-1,29;1,96;-3,10;1,48;1,54;-2,57;4,67;-150,16;-24,08;-162,94;0,16;0,57;0,56;-2,75;;;0,29;-0,43;;83.339.445,00
PXS;4,81;;-4,32;1,03;0,38;21,20;-14,91;-26,45;;-17,21;-9,54;1,29;1,14;-16,65;-0,43;0,83;-23,91;-8,77;-5,70;0,37;0,63;0,33;14,55;;;4,66;-1,11;;51.403.989,00
PXSAP;24,46;7,26;-21,96;5,25;1,93;21,20;-14,91;-26,45;;-17,21;-9,54;1,29;5,81;-84,68;-2,16;0,83;-23,91;-8,77;-5,70;0,37;0,63;0,33;14,55;;;4,66;-1,11;;51.403.989,00
