TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CCME11;108,00;0,900000;8,36;102,02;1,06;18.879,00;3,73;;;306.443.211,76;148,00;Ativa;3.003.830,00
CCRF11;92,86;1,075734;10,55;98,33;0,94;290.178,56;1,52;;;154.570.326,66;318,00;Ativa;1.571.900,00
CEOC11;51,70;0,648173;13,75;78,32;0,66;112.851,88;2,31;9,92;-14,34;142.200.308,68;4.856,00;Passiva;1.815.696,00
CFHI11;0,00;36,511390;0,00;649,22;;;3,58;;;61.416.447,92;54,00;Ativa;94.600,00
CFII11;0,00;;0,00;1.063,81;;;38,59;;;75.589.217,43;57,00;Ativa;71.055,00
CIXR11;0,00;;0,00;;;;;;;;;;2.834.551,00
CJCT11;68,00;0,080000;0,82;66,15;1,03;35.977,05;1,79;;5,14;207.716.568,66;1.145,00;Passiva;3.140.000,00
CJFI11;0,00;;0,00;2,82;;;2,40;;;148.172.766,80;1,00;Ativa;52.601.278,00
CNES11;26,50;0,073995;4,78;90,76;0,29;12.723,08;5,12;-12,36;-26,38;267.683.433,14;1.728,00;Ativa;2.949.248,00
COPP11;100,00;;0,00;100,61;0,99;5.650.000,00;1,15;;;159.273.624,66;14,00;Ativa;1.583.087,00
CPFF11;78,61;0,700000;8,17;83,99;0,94;424.464,46;0,05;-9,63;-0,11;214.439.976,69;10.240,00;Ativa;2.553.074,00
CPFO11;0,00;;0,00;31,43;;;2,66;;;89.099.931,59;528,00;Ativa;2.834.551,00
CPSH11;118,99;1,100000;1,85;115,13;1,03;16.293,00;1,12;;;259.904.912,03;216,00;;2.257.492,00
CPTS11;88,96;0,890000;10,80;90,97;0,98;6.246.021,42;2,09;-6,09;-2,47;2.891.181.369,43;228.373,00;Ativa;31.782.814,00
CRFF11;82,20;0,630000;9,08;90,37;0,91;44.091,73;11,73;12,50;0,71;62.362.307,70;1.557,00;Ativa;690.040,00
CSMC11;0,00;20,665812;0,00;1.061,14;;;3,82;;;551.123.998,20;1,00;Ativa;519.370,00
CTNP11;0,00;;0,00;;;;;;;;;;0,00
CTXT11;12,26;0,010000;0,00;31,66;0,39;1.492,23;2,77;-23,80;-36,53;107.894.241,20;2.933,00;Passiva;3.408.174,00
CVBI11;94,20;0,850000;11,80;96,58;0,97;2.363.929,50;7,21;-5,22;1,59;1.063.338.891,97;80.329,00;Ativa;11.010.228,00
CVPR11;0,00;0,800000;0,00;100,58;;;8,08;;;14.081.160,90;2,00;Ativa;140.000,00
CXAG11;82,96;0,710000;11,08;115,55;0,72;123.169,38;0,34;;;241.567.834,64;11.823,00;Ativa;2.090.621,00
CXCE11B;42,74;0,416293;11,81;65,28;0,64;33.527,19;6,55;-23,23;-25,11;111.823.006,09;3.799,00;Passiva;1.712.950,00
CXCI11;89,46;0,850000;11,18;97,55;0,92;58.657,27;3,61;;;200.740.763,05;5.356,00;Ativa;2.057.726,00
CXCO11;80,11;0,738300;11,68;99,11;0,81;218.940,42;1,06;;;388.964.047,75;13.830,00;Passiva;3.924.500,00
CXRI11;82,55;0,570000;8,18;91,55;0,90;27.130,81;6,39;-1,20;-21,09;144.265.006,25;2.305,00;Ativa;1.575.760,00
CXTL11;294,00;1,989949;6,18;414,87;0,71;14.176,54;3,38;18,47;-4,73;22.235.708,87;764,00;Passiva;53.597,00
CYCR11;9,19;0,100000;13,32;9,85;0,94;313.219,12;21,26;;;160.669.268,87;12.668,00;Ativa;16.315.840,00
CYLD11;0,00;;0,00;100,76;;;31,80;;;103.993.452,70;46,00;Ativa;1.032.105,00
DAMT11B;17,30;0,081450;5,25;13,18;1,31;875,12;0,95;;;96.266.043,23;581,00;Passiva;7.305.341,00
DEVA11;48,84;0,500000;19,16;96,22;0,51;2.195.623,54;2,63;;;1.351.401.436,46;137.685,00;Ativa;14.044.908,00
DLMT11;0,00;0,004929;0,00;0,64;;;4,33;;;8.509.714,12;9,00;Ativa;13.225.796,00
DMAC11;13,00;4,894618;0,00;4,99;2,61;;105,14;;-67,54;778.257,90;2.352,00;Passiva;156.108,00
DOMC11;439,00;;0,00;99,17;4,43;;0,56;;-1,93;242.344.280,94;1.185,00;Ativa;2.443.800,00
DOVL11B;1.200,69;8,210432;6,07;1.182,40;1,02;33.619,00;4,21;16,86;;78.518.759,23;60,00;Ativa;66.406,00
DPRO11;94,69;0,800000;12,49;96,80;0,98;2.282,82;1,76;;;35.963.741,09;146,00;Ativa;371.522,00
DRIT11B;92,90;0,770000;8,69;132,63;0,70;722,87;18,13;23,64;-12,69;61.446.184,81;353,00;Ativa;463.277,00
DVFF11;85,80;0,800000;10,37;96,09;0,89;132.489,38;5,65;;;105.791.331,18;696,00;Ativa;1.100.950,00
EDFO11B;190,06;1,763585;10,93;180,72;1,05;4.329,57;1,78;6,64;-10,49;42.649.779,25;543,00;Passiva;236.000,00
EDGA11;19,76;0,070000;6,86;61,24;0,32;25.664,88;1,03;-9,50;-13,19;233.462.987,56;5.571,00;Passiva;3.812.055,00
EGYR11;9,00;;0,00;123,68;0,07;12.076,54;0,00;;;93.361.078,71;25,00;Passiva;754.861,00
ELDO11B;762,38;0,410000;14,02;1.439,57;0,53;;0,25;-1,49;;1.133.307.436,46;60,00;Passiva;787.256,00
EQIR11;9,41;0,110000;24,55;9,91;0,95;228.683,12;2,23;;;49.815.807,79;5.754,00;Ativa;5.025.000,00
