IBXX - Carteira do Dia 26/06/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BEEF3;MINERVA;ON      NM;260.340.982;0,121;
MOVI3;MOVIDA;ON      NM;131.875.326;0,066;
MRVE3;MRV;ON      NM;305.322.465;0,155;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,345;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,127;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,732;
PETR4;PETROBRAS;PN      N2;4.566.511.125;6,291;
RECV3;PETRORECSA;ON      NM;276.798.795;0,245;
PRIO3;PETRORIO;ON      NM;839.159.130;1,465;
PETZ3;PETZ;ON      NM;335.865.260;0,108;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,228;
QUAL3;QUALICORP;ON      NM;277.896.899;0,062;
RADL3;RAIADROGASIL;ON      NM;1.243.912.161;1,652;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,239;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,669;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,212;
SBSP3;SABESP;ON      NM;340.002.999;0,866;
SANB11;SANTANDER BR;UNT;355.642.848;0,499;
STBP3;SANTOS BRP;ON      NM;858.685.799;0,397;
SMTO3;SAO MARTINHO;ON  EJ  NM;143.294.210;0,236;
CSNA3;SID NACIONAL;ON;589.695.175;0,345;
SIMH3;SIMPAR;ON      NM;226.890.081;0,097;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,188;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,525;
TAEE11;TAESA;UNT     N2;218.568.234;0,380;
VIVT3;TELEF BRASIL;ON;423.091.712;0,826;
TIMS3;TIM;ON  EJ  NM;808.436.195;0,536;
TOTS3;TOTVS;ON      NM;513.869.896;0,699;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,466;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,900;
USIM5;USIMINAS;PNA     N1;515.014.562;0,170;
VALE3;VALE;ON      NM;4.448.529.763;13,391;
VAMO3;VAMOS;ON      NM;314.724.970;0,173;
VIIA3;VIA;ON      NM;1.576.975.642;0,171;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,936;
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,473;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,248;
Quantidade Teórica Total;;;101.563.373.724;100,000
Redutor;;;43.781.922,08993051
