,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
73,CCME11,INDEFINIDO,,"7.930,65","1,07",,"0,83 %",,,,,,,,"-0,71 %",,,"556.110.232,10",,,,,,,,,148,,,
74,CCRF11,PAPÉIS,,"903.137,16","0,96",,"0,00 %",,,,,,,,"0,00 %",,,"155.495.654,73",,,,,,,,,333,,,
75,CDII11,INDEFINIDO,,"634.726,64",N/A,,"1,05 %",,,,,,,,"-0,55 %",,,N/A,,,,,,,,,0,,,
76,CEOC11,LAJES CORPORATIVAS,,"53.292,21","0,60",,"0,91 %",,,,,,,,"-8,30 %",,,"142.064.317,22",,,,,,,,,4.939,,,
77,CFHI11,FUNDO DE DESENVOLVIMENTO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"61.198.784,97",,,,,,,,,54,,,
78,CJCT11,LAJES CORPORATIVAS,,"34.767,33","1,04",,"0,11 %",,,,,,,,"5,88 %",,,"207.763.632,87",,,,,,,,,1.130,,,
79,CNES11,LAJES CORPORATIVAS,,"13.607,81","0,25",,"0,27 %",,,,,,,,"-17,20 %",,,"267.660.615,32",,,,,,,,,1.702,,,
80,CORM11,LAJES CORPORATIVAS,,N/A,N/A,,"0,90 %",,,,,,,,"-2,97 %",,,N/A,,,,,,,,,0,,,
81,CPFF11,FUNDO DE FUNDOS,,"410.302,57","0,90",,"0,92 %",,,,,,,,"-2,20 %",,,"213.183.352,66",,,,,,,,,10.161,,,
82,CPFO11,FUNDO DE FUNDOS,,N/A,N/A,,N/A,,,,,,,,N/A,,,"90.509.108,49",,,,,,,,,528,,,
83,CPSH11,INDEFINIDO,,"742.478,18","0,98",,"0,92 %",,,,,,,,"3,35 %",,,"329.158.261,54",,,,,,,,,271,,,
84,CPTI11,FUNDO DE DESENVOLVIMENTO,,"1.335.182,75",N/A,,"1,18 %",,,,,,,,"-1,88 %",,,N/A,,,,,,,,,0,,,
85,CPTR11,INDEFINIDO,,"1.473.080,36","0,10",,"0,14 %",,,,,,,,"-0,60 %",,,"407.265.257,53",,,,,,,,,21.079,,,
86,CPTS11,PAPÉIS,,"12.019.745,14","0,10",,"0,09 %",,,,,,,,"1,83 %",,,"2.858.107.218,58",,,,,,,,,231.750,,,
87,CRAA11,INDEFINIDO,,"134.881,07","0,99",,"1,27 %",,,,,,,,"-0,63 %",,,"50.264.067,10",,,,,,,,,1.495,,,
