TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
APTX;0,07;;-0,07;0,26;0,10;;;;-0,08;0,21;0,28;-0,96;;0,12;-23,01;5,12;-362,01;-137,79;-137,60;0,38;0,62;0,00;;;;0,27;-0,98;;4.740.099,00
APVO;1,50;;0,59;0,47;0,31;;;;0,65;-0,86;-1,52;-1,09;;0,48;-1,69;4,91;79,54;52,90;71,88;0,67;0,33;0,00;-26,64;2,86;;3,19;2,54;;10.935.150,00
APWC;1,92;;8,69;0,18;0,13;7,67;2,26;1,29;4,94;-1,01;-5,95;-0,22;0,11;0,23;-0,62;3,71;2,07;1,50;2,72;0,72;0,28;1,17;0,40;-11,41;;10,65;0,22;;39.583.104,00
APXT;12,11;;-16,24;107,92;1,53;;;;-16,25;-16,25;0,00;-0,03;;-95,81;-1,53;0,11;-664,52;-9,42;-664,52;0,01;0,19;0,00;;;;0,11;-0,75;;539.621.600,00
APXTU;13,61;;-18,25;121,29;1,72;;;;-18,26;-16,25;0,00;-0,03;;-107,68;-1,72;0,11;-664,52;-9,42;-664,52;0,01;0,19;0,00;;;;0,11;-0,75;;539.621.600,00
APXTW;3,39;;-4,55;30,21;0,43;;;;-4,55;-16,25;0,00;-0,03;;-26,82;-0,43;0,11;-664,52;-9,42;-664,52;0,01;0,19;0,00;;;;0,11;-0,75;;539.621.600,00
APYX;6,05;;-10,10;5,81;3,69;64,51;-51,11;-46,93;-9,27;-8,95;0,33;-0,20;4,74;6,13;-51,05;2,84;-57,48;-36,49;-54,62;0,63;0,37;0,78;34,18;;;1,04;-0,60;;209.316.690,00
AQB;0,37;;-1,12;0,14;0,13;-440,98;-903,93;-914,89;-1,14;1,61;2,75;-0,34;10,26;0,42;-0,20;5,56;-12,68;-11,41;-11,95;0,90;0,10;0,01;126,18;;;2,60;-0,33;;26.397.872,00
AQMS;1,36;;-7,24;5,93;3,33;-100.650,00;-383.150,00;-390.675,00;-7,38;-7,77;-0,39;0,31;28.266,85;15,28;-7,65;1,63;-81,92;-46,02;-53,90;0,56;0,44;0,00;-71,39;;;0,23;-0,19;;113.067.408,00
AQN;8,11;7,13;28,45;0,79;0,31;39,52;19,95;7,91;11,28;25,77;14,50;1,02;2,25;-20,18;-0,33;0,77;2,79;1,11;3,25;0,40;0,60;0,14;12,68;;;10,21;0,29;;5.585.069.095,00
AQNA;24,83;6,92;87,10;2,43;0,96;39,52;19,95;7,91;34,52;25,77;14,50;1,02;6,89;-61,79;-1,02;0,77;2,79;1,11;3,25;0,40;0,60;0,14;12,68;;;10,21;0,29;;5.585.069.095,00
AQNB;23,32;6,65;81,81;2,28;0,91;39,52;19,95;7,91;32,42;25,77;14,50;1,02;6,47;-58,03;-0,96;0,77;2,79;1,11;3,25;0,40;0,60;0,14;12,68;;;10,21;0,29;;5.585.069.095,00
AQST;1,59;;-2,68;-0,81;1,45;57,23;-48,72;-71,16;-3,92;-4,61;-0,68;;1,91;26,76;-5,06;1,08;-30,32;-54,05;33,92;-1,78;2,78;0,76;-6,55;;;-1,95;-0,59;;88.916.616,00
AQUA;49,96;;77,60;8,27;2,77;31,16;6,29;4,24;52,33;58,84;6,50;1,03;3,29;16,53;-4,48;1,78;10,66;3,57;7,22;0,33;0,67;0,84;6,85;101,69;;6,04;0,64;;6.113.625.184,00
AR;22,57;;2,99;0,98;0,49;64,29;40,45;29,24;2,16;2,58;0,43;0,19;0,87;-6,39;-0,50;0,29;32,82;16,35;31,21;0,50;0,50;0,56;14,32;25,29;;23,03;7,56;;6.774.051.464,00
ARAV;1,61;;-0,85;-2,50;2,24;100,00;-1.187,30;-1.187,30;-0,85;-0,53;0,32;;10,10;5,11;-24,20;1,93;-293,24;-263,04;293,24;-0,90;1,90;0,22;-25,57;;;-0,65;-1,89;;96.350.289,00
