Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
GFDL11,Logística,118.08,11773.53,1.25,0.16,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.0,0.0,N/A,"24.160.022,64",N/A,N/A,N/A,N/A,N/A,N/A,0,147.15,2052,N/A,N/A,N/A
GGRC11,Imóveis Industriais e Logísticos,9.69,13744278.62,0.88,0.1,1.0,3.01,6.08,12.6,1.0,1.01,1.05,2.01,1.21,2.22,2.84,"2.363.600.563,21",11.25,0.86,0.89,-90.95,-90.87,-90.63,42,728.75,356495,1.1,N/A,N/A
GLCR11,Papéis,99.16,4037.94,1.0,0.9,0.9,2.72,3.65,6.08,0.91,0.61,0.51,3.65,0.0,0.9,1.81,"49.598.220,68",N/A,N/A,N/A,N/A,N/A,N/A,0,13768.55,887,N/A,N/A,N/A
GLOG11,Imóveis Industriais e Logísticos,75.0,4966.27,0.69,0.6,0.82,1.64,3.87,7.8,0.55,0.65,0.65,4.52,0.25,1.07,22.7,"81.722.702,68",N/A,N/A,N/A,N/A,N/A,N/A,1,1964.4,1466,N/A,N/A,0.7
GLPF11,Logística,109.16,23092.85,1.05,0.68,0.62,1.87,3.37,6.81,0.62,0.56,0.57,4.26,1.72,2.35,10.62,"155.966.699,11",N/A,N/A,N/A,N/A,N/A,N/A,0,1701.82,2448,N/A,N/A,N/A
GRUL11,Logística,8.18,236183.14,0.85,0.08,0.97,2.83,5.62,12.23,0.94,0.94,1.02,6.54,-4.17,-3.24,13.45,"239.163.458,88",N/A,N/A,N/A,N/A,N/A,N/A,1,2370.22,5220,1.0,N/A,0.15
GRWA11,Indefinido,7.47,19111.43,0.73,0.1,1.34,3.95,7.85,14.53,1.32,1.31,1.21,9.14,-4.49,-3.21,17.38,"28.278.548,57",10.25,0.73,0.98,0.0,0.0,0.0,0,2904.59,2099,N/A,10.0,1.15
GSFI11,Shoppings,11.14,17435240.86,0.88,0.0,0.03,0.03,0.03,0.03,0.01,0.0,0.0,0.03,0.0,0.03,0.03,"1.223.710.564,51",11.9,0.94,0.01,0.01,0.02,0.02,9,961.21,6708,N/A,N/A,1.0
GTLG11,Imóveis Industriais e Logísticos,63.99,22885.25,1.06,60.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.59,0.0,0.0,N/A,"434.811.690,70",60.62,1.06,100.0,-35.83,28.33,35.22,5,34.61,341,N/A,N/A,N/A
GTWR11,Lajes Corporativas,80.28,727618.71,0.79,0.9,1.11,3.24,6.51,14.02,1.08,1.09,1.17,7.65,-2.27,-1.19,19.5,"1.216.667.356,04",101.39,0.79,0.89,7.06,8.01,13.71,3,986.38,33431,N/A,N/A,0.25
