Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
NVIF11B,Fundo de Desenvolvimento,227.5,N/A,0.86,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"88.829.544,94",263.28,0.86,0.42,-15.74,-15.38,5.4,2,N/A,7,N/A,N/A,N/A
NVRP11,Indefinido,79.6,12440.71,N/A,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,30848.34,0,N/A,N/A,N/A
OBAL11,Imóveis Residenciais,1095.0,1095.0,0.6,93.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"256.968.206,94",N/A,N/A,N/A,N/A,N/A,N/A,3,6054.38,108,N/A,N/A,N/A
OCRE11,Papéis,66.97,15413.25,0.45,0.36,0.5,1.76,3.27,6.78,0.59,0.55,0.57,3.86,-6.92,-6.46,-10.52,"65.199.971,25",N/A,N/A,N/A,N/A,N/A,N/A,1,8258.05,445,N/A,N/A,N/A
OGHY11,Indefinido,8.72,22847.1,0.92,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,N/A,"25.780.971,88",N/A,N/A,N/A,N/A,N/A,N/A,14,57.14,1565,N/A,N/A,N/A
OGIN11,Misto,7.94,70296.0,N/A,0.1,1.3,0.0,0.0,3.61,0.0,0.0,0.3,7.59,4.9,6.26,-2.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1689.43,0,N/A,N/A,N/A
OIAG11,Indefinido,8.15,146815.29,0.82,0.12,1.35,4.01,8.01,17.28,1.34,1.34,1.44,9.45,-4.05,-2.76,17.27,"89.222.665,96",9.88,0.82,1.21,0.0,0.0,0.0,0,1701.93,13325,N/A,20.0,1.1
ONDA11,Exploração de Imóveis,7.41,13550.43,0.66,0.1,1.21,2.46,5.03,11.28,0.82,0.84,0.94,5.03,-6.23,-5.09,0.28,"92.090.911,12",N/A,N/A,N/A,N/A,N/A,N/A,1,4338.95,483,0.3,20.0,0.15
ONDV11,Exploração de Imóveis,9.77,5317.5,0.69,0.1,1.21,3.75,6.31,11.28,1.25,1.05,0.94,5.03,-6.23,-5.09,0.28,"98.045.405,20",N/A,N/A,N/A,N/A,N/A,N/A,1,4190.49,459,0.3,20.0,0.15
ONEF11,Lajes Corporativas,200.03,114431.47,1.09,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"166.518.054,63",182.79,1.09,17.78,-9.26,6.88,30.26,1,9.4,2602,N/A,N/A,N/A
OPTM11,Misto,N/A,N/A,N/A,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"4.811.420,88",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,14,N/A,N/A,N/A
ORPD11,Fundo de Desenvolvimento,93.0,402.75,0.66,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"40.780.903,28",124.68,0.75,1.11,0.95,2.06,2.06,14,24.8,6,N/A,N/A,N/A
OUFF11,Fundo de Fundos,61.1,264340.11,0.96,0.76,1.25,0.0,0.0,0.0,0.0,0.0,0.0,7.1,-1.44,-0.2,-4.01,"118.155.565,38",78.55,0.78,0.96,3.49,4.49,11.0,1,0.13,8102,N/A,30.0,0.35
OUJP11,Papéis,71.07,664443.05,0.71,1.06,1.19,3.79,8.14,17.06,1.26,1.36,1.42,2.48,12.23,13.56,19.69,"325.169.190,54",101.23,0.7,1.05,1.34,2.4,17.68,14,1882.05,26447,N/A,20.0,1.05
OURE11,Misto,78.2,224923.68,1.23,1.09,1.39,0.0,0.0,0.0,0.0,0.0,0.0,8.68,3.84,5.28,19.42,"118.155.565,38",100.43,0.78,1.08,10.33,11.52,23.93,2,6.17,8102,N/A,25.0,0.95
PABY11,Fundo de Desenvolvimento,20.88,817.0,0.23,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"-26.327.409,60",251.42,0.08,0.0,1.74,1.74,5.49,15,10938.45,518,N/A,N/A,N/A
PATA11,Misto,9.16,9270.37,0.89,0.12,0.0,1.41,3.86,19.56,0.47,0.64,1.63,4.77,0.0,0.0,N/A,"17.482.589,00",N/A,N/A,N/A,N/A,N/A,N/A,14,6796.27,393,N/A,N/A,N/A
PATB11,Lajes Corporativas,N/A,N/A,N/A,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"879.819.564,41",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,1,N/A,N/A,N/A
PATC11,Fundo de Desenvolvimento,39.72,2855519.43,1.16,0.05,0.13,0.39,0.77,1.52,0.39,0.77,0.13,0.89,2.56,2.7,-3.45,"119.369.914,50",34.33,1.16,0.15,-55.06,-54.99,-57.03,4,1259.37,4260,N/A,N/A,1.18
PCAS11,Indefinido,N/A,N/A,N/A,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"266.203.128,91",N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,100,N/A,N/A,N/A
PCIP11,Papéis,75.81,3190038.57,0.82,1.07,1.36,3.5,6.48,13.63,1.17,1.08,1.14,7.57,-6.12,-4.84,9.2,"1.580.092.878,48",N/A,N/A,N/A,N/A,N/A,N/A,0,1415.4,113410,0.9,N/A,0.1
PDBM11,Shoppings,109.23,5218.13,0.97,0.76,0.0,1.47,2.66,6.62,0.49,0.44,0.6,2.66,0.0,0.0,N/A,"38.340.741,67",N/A,N/A,N/A,N/A,N/A,N/A,1,6949.37,118,N/A,N/A,N/A
PEMA11,Papéis,24.72,305.56,0.46,0.28,1.12,3.53,7.36,17.09,1.18,1.23,1.42,7.36,-16.67,-15.73,-21.53,"29.370.112,09",N/A,N/A,N/A,N/A,N/A,N/A,14,9954.04,281,N/A,N/A,N/A
PFIN11,Indefinido,61.67,1210112.48,N/A,28.14,47.81,47.81,49.44,54.63,15.94,8.24,4.55,49.44,6.61,57.58,75.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1970.64,0,N/A,N/A,0.6
PICE11,Indefinido,32.12,55970.38,N/A,0.5,1.39,0.0,0.0,1.39,0.0,0.0,0.12,2.57,6.04,7.51,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3799.88,0,N/A,N/A,1.3
PLAG11,Indefinido,61.99,132557.76,0.96,0.65,1.03,3.06,5.97,12.24,1.02,1.0,1.02,6.95,0.06,1.09,45.61,"357.535.366,72",N/A,N/A,N/A,N/A,N/A,N/A,8,1864.76,13748,N/A,N/A,1.0
PLCA11,Indefinido,73.67,35711.43,0.77,1.05,1.41,4.11,8.13,17.44,1.37,1.36,1.45,9.6,-2.32,-0.94,25.23,"53.777.395,34",96.54,0.76,1.09,0.0,0.0,0.0,0,1221.83,2420,N/A,10.0,1.15
PLCR11,Papéis,78.2,864020.0,0.94,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,0.0,0.0,N/A,"175.914.246,15",83.4,0.94,1.08,-8.04,-7.05,2.32,1,625.99,14034,N/A,N/A,1.2
PLOG11,Imóveis Industriais e Logísticos,66.71,70165.04,0.63,0.7,0.99,3.05,6.1,12.13,1.02,1.02,1.01,4.09,2.01,3.02,0.55,"79.648.071,76",100.39,0.66,0.75,-0.02,0.72,8.77,1,16.63,3284,N/A,N/A,N/A
PLRI11,Papéis,7.95,547.0,0.51,0.66,8.05,8.05,10.24,11.14,2.68,1.71,0.93,10.24,-28.63,-22.89,-26.03,"14.780.732,10",14.54,0.55,1.73,-54.79,-54.01,-60.88,1,13329.67,738,N/A,N/A,N/A
PMFO11,Misto,86.5,24322.25,0.98,0.84,0.0,0.93,0.93,1.94,0.93,0.93,0.16,0.93,0.0,0.0,N/A,"87.026.552,11",N/A,N/A,N/A,N/A,N/A,N/A,14,23336.78,1,N/A,N/A,N/A
PMIS11,Misto,7.76,156302.48,0.82,0.1,1.26,3.54,6.97,14.76,1.18,1.16,1.23,8.35,-2.11,-0.88,18.26,"139.223.644,95",N/A,N/A,N/A,N/A,N/A,N/A,14,1696.82,6571,N/A,20.0,1.1
PMLL11,Shoppings,100.61,4802983.81,0.86,1.0,0.94,2.78,5.64,11.08,0.93,0.94,0.92,6.5,-1.13,-0.2,16.32,"1.631.272.606,28",N/A,N/A,N/A,N/A,N/A,N/A,12,1234.85,135622,N/A,N/A,0.5
PNCR11,Imóveis Residenciais,45.2,350700.0,0.98,46.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84,0.0,0.0,N/A,"23.037.047,12",N/A,N/A,N/A,N/A,N/A,N/A,14,21690.15,112,N/A,N/A,N/A
PNDL11,Fundo de Desenvolvimento,160.0,25.26,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"14.450.344,69",N/A,N/A,N/A,N/A,N/A,N/A,14,199747.58,58,N/A,N/A,N/A
PNPR11,Fundo de Desenvolvimento,48.0,5000064.0,1.24,19.05,25.23,0.0,0.0,0.0,0.0,0.0,0.0,25.23,0.0,0.0,N/A,"34.834.162,72",N/A,N/A,N/A,N/A,N/A,N/A,1,1295.88,15,N/A,N/A,N/A
PNRC11,Indefinido,28.11,1.65,2.72,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,N/A,"4.231.534,23",N/A,N/A,N/A,N/A,N/A,N/A,14,2253.28,103,N/A,N/A,N/A
PORD11,Papéis,8.43,595928.14,0.88,0.1,1.22,3.73,7.51,14.69,1.24,1.25,1.22,2.47,0.74,1.97,4.26,"355.948.741,83",9.57,0.88,1.04,-90.24,-90.14,-89.08,1,919.59,44919,N/A,15.0,0.9
PPEI11,Indefinido,83.08,160088.14,N/A,1.0,1.19,3.6,7.31,18.48,1.2,1.22,1.54,7.31,1.15,2.35,18.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2295.5,0,1.0,N/A,0.1
PQAG11,Imóveis Industriais e Logísticos,57.99,1493.9,0.95,0.49,0.87,2.65,5.42,9.95,0.88,0.9,0.83,6.31,-0.84,0.02,15.25,"778.526.798,95",55.64,1.04,0.88,-2.83,-1.97,7.69,1,3989.88,465,N/A,N/A,0.2
PQDP11,Shoppings,2492.0,68905.57,0.96,14.91,0.65,2.1,4.25,10.19,0.7,0.71,0.85,1.4,-1.79,-1.15,-6.42,"636.312.310,55",25.48,97.8,58.5,-99.19,-98.71,-98.75,1,1770.9,3002,N/A,N/A,0.23
PRIF11,Indefinido,98.05,89364.52,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,9944.77,0,N/A,N/A,N/A
PRSV11,Lajes Corporativas,33.84,1732.55,0.33,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"29.567.728,68",364.23,0.09,0.44,-0.03,0.41,-3.81,1,14634.57,789,N/A,N/A,0.38
PRTS11,Shoppings,18206.64,4233564689.21,303444.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"3.111.607,44",N/A,N/A,N/A,N/A,N/A,N/A,2,2278.64,11,N/A,N/A,N/A
PSEC11,Fundo de Fundos,55.54,2218797.48,0.75,0.55,0.95,2.98,6.16,13.32,0.99,1.03,1.11,6.16,1.06,2.02,4.69,"1.363.714.663,33",N/A,N/A,N/A,N/A,N/A,N/A,0,1097.2,84072,N/A,20.0,0.93
PULV11,Papéis,8.72,61949.0,0.87,0.71,0.0,0.0,0.0,3.48,0.0,0.0,0.29,12.52,0.0,0.0,N/A,"120.562.664,39",N/A,N/A,N/A,N/A,N/A,N/A,14,1593.11,972,N/A,20.0,1.5
PVBI11,Lajes Corporativas,71.73,3556089.9,0.67,0.4,0.55,1.62,3.28,6.98,0.54,0.55,0.58,3.84,-1.21,-0.67,-1.58,"2.923.115.599,01",107.74,0.67,0.37,4.21,4.59,13.51,9,1875.58,183801,0.8,N/A,0.2
QAMI11,Papéis,84.68,67019.0,0.91,1.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,11.32,6.69,7.94,14.22,"74.367.555,48",92.8,0.91,1.08,1.42,2.51,14.58,14,112.81,1440,N/A,N/A,N/A
QIRI11,Papéis,78.04,6867.57,0.87,89.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,N/A,"13.441.852,95",89.61,0.87,100.03,-0.41,99.21,116.58,14,9.65,173,N/A,N/A,N/A
QNTS11,Indefinido,N/A,N/A,N/A,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"244.213.410,21",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,136,N/A,N/A,N/A
RBCO11,Lajes Corporativas,N/A,N/A,N/A,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,90.22,N/A,0.22,1.03,1.25,-7.08,0,N/A,0,N/A,N/A,N/A
RBDS11,Fundo de Desenvolvimento,1.4,67.9,0.09,2.35,12.63,0.0,0.0,0.0,0.0,0.0,0.0,12.63,0.0,0.0,N/A,"2.331.451,27",22.98,0.06,0.0,0.0,0.0,0.0,14,20026.51,797,N/A,20.0,N/A
RBFM11,Fundo de Fundos,10.33,300408.48,0.8,0.11,1.03,3.06,5.04,12.7,1.02,0.84,1.06,7.05,-1.32,-0.3,9.3,"240.895.325,60",N/A,N/A,N/A,N/A,N/A,N/A,0,1689.5,22122,N/A,20.0,0.78
RBFY11,Imóveis Residenciais,72.0,9328.44,0.76,0.32,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.0,0.0,N/A,"91.864.653,27",N/A,N/A,N/A,N/A,N/A,N/A,2,19008.17,82,1.0,N/A,N/A
RBGS11,Shoppings,28.45,N/A,0.31,0.18,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.62,-1.9,-1.29,-1.29,"97.865.283,71",90.78,0.31,0.18,0.0,0.18,1.17,1,N/A,2808,N/A,N/A,N/A
RBHG11,Papéis,61.69,219031.95,0.71,0.8,1.15,3.64,7.39,14.97,1.21,1.23,1.25,2.36,4.53,5.74,13.35,"187.707.875,95",86.65,0.71,0.92,-5.9,-5.03,5.11,14,1276.1,7516,0.68,N/A,0.12
RBHY11,Papéis,72.05,209227.1,0.77,1.0,1.33,3.96,8.15,17.26,1.32,1.36,1.44,9.6,-2.86,-1.57,15.49,"175.939.153,17",92.92,0.78,1.13,-1.28,-0.16,13.36,14,1147.41,3499,0.88,10.0,0.12
RBIF11,Indefinido,74.18,161131.0,N/A,0.38,0.5,1.67,5.35,14.99,0.56,0.89,1.25,9.2,-2.06,-1.57,23.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1095.75,0,0.8,N/A,N/A
RBIR11,Fundo de Desenvolvimento,73.5,251761.43,0.94,5.23,6.6,17.08,21.25,36.19,5.69,3.54,3.02,21.25,1.43,8.13,20.35,"120.414.062,37",N/A,N/A,N/A,N/A,N/A,N/A,14,1563.41,1464,N/A,20.0,2.0
RBLG11,Imóveis Industriais e Logísticos,17.72,5.53,0.58,0.07,0.37,2.74,178.69,178.91,0.91,29.78,14.91,178.91,0.0,0.0,N/A,"19.666.962,94",30.72,0.58,1.43,-69.43,-68.99,-67.86,1,65179.6,238,N/A,20.0,1.0
RBOP11,Lajes Corporativas,223.01,16828.75,0.3,1.1,0.49,0.98,1.86,9.34,0.98,0.31,0.78,9.34,0.73,1.22,-25.71,"74.849.600,08",N/A,N/A,N/A,N/A,N/A,N/A,2,3445.55,2562,N/A,20.0,1.1
RBRD11,Varejo,37.03,47328.76,0.52,0.55,1.43,4.29,8.44,17.31,1.43,1.41,1.44,10.13,5.15,6.65,14.47,"132.777.498,24",71.7,0.52,0.77,8.32,9.16,6.95,4,1430.27,7509,N/A,N/A,0.17
RBRI11,Fundo de Desenvolvimento,225.02,336.35,0.79,103.82,0.0,0.0,43.01,83.95,0.0,7.17,7.0,0.0,0.0,0.0,N/A,"44.465.056,94",N/A,N/A,N/A,N/A,N/A,N/A,1,14283.8,143,1.5,N/A,0.2
RBRL11,Imóveis Industriais e Logísticos,71.93,545800.67,0.73,0.75,0.8,2.48,5.19,11.42,0.83,0.87,0.95,1.61,0.9,1.7,10.22,"655.781.197,05",101.1,0.71,0.74,-5.74,-5.04,2.68,5,1402.15,16902,1.0,20.0,0.18
RBRM11,Fundo de Desenvolvimento,94794.81,N/A,17.88,5302.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"2.860.101,93",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,54,N/A,N/A,N/A
RBRP11,Lajes Corporativas,47.27,1300706.05,0.59,0.4,0.83,2.4,4.68,9.6,0.8,0.78,0.8,5.44,-4.99,-4.2,-0.06,"979.206.851,27",80.4,0.59,0.5,-1.59,-1.1,2.81,6,1320.14,54487,1.0,20.0,0.18
RBRR11,Papéis,77.29,4765063.62,0.83,0.95,1.16,3.08,5.85,12.2,1.03,0.98,1.02,5.85,-1.13,0.02,9.51,"1.520.653.656,87",93.29,0.83,0.96,-0.83,0.13,3.06,3,1221.27,143366,0.8,20.0,0.2
RBRS11,Fundo de Desenvolvimento,43.51,1927.06,0.5,0.11,0.33,1.17,2.74,6.05,0.39,0.46,0.5,0.8,-9.34,-9.04,-17.44,"73.392.606,42",95.66,0.45,0.12,1.67,1.79,7.88,2,5534.08,865,N/A,N/A,N/A
RBRX11,Indefinido,8.08,2305603.19,0.83,0.09,1.08,3.33,6.87,13.85,1.11,1.15,1.15,1.08,3.33,4.45,4.45,"1.428.357.555,44",N/A,N/A,N/A,N/A,N/A,N/A,14,1319.38,126599,1.3,20.0,N/A
RBRY11,Papéis,86.2,3912258.71,0.86,1.0,1.11,3.32,7.06,15.58,1.11,1.18,1.3,7.06,-1.69,-0.6,7.74,"1.289.154.179,60",100.96,0.85,0.99,1.07,2.07,7.35,14,869.51,75892,1.1,20.0,0.2
RBTS11,Fundo de Desenvolvimento,247.95,17.81,0.87,7.34,1.84,1.84,1.84,14.53,0.61,0.31,1.21,1.84,0.0,0.0,N/A,"16.104.953,17",279.8,0.89,2.62,-74.42,-73.75,-68.81,14,11776.28,124,N/A,17.5,1.32
RBVA11,Varejo,8.94,2296873.43,0.84,0.09,0.99,2.83,5.62,11.83,0.94,0.94,0.99,6.53,-5.4,-4.46,4.54,"1.667.803.737,09",10.68,0.84,0.84,-90.24,-90.15,-88.28,73,1165.69,92652,N/A,N/A,0.65
RCFF11,Fundo de Fundos,73.01,21.47,0.71,0.42,0.0,0.0,3.76,9.17,0.0,0.63,0.83,0.0,0.0,0.0,N/A,"33.291.470,77",98.43,0.74,0.43,7.61,8.07,8.43,14,20033.41,125,0.5,N/A,0.2
RCRB11,Lajes Corporativas,132.0,887458.33,0.67,1.08,0.79,2.31,4.62,9.16,0.77,0.77,0.76,5.32,-2.86,-2.09,17.5,"734.800.247,23",199.1,0.66,0.54,-3.97,-3.46,5.98,9,1464.31,24331,N/A,N/A,0.7
RDCI11,Indefinido,N/A,N/A,N/A,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"267.061.881,27",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,117,N/A,N/A,N/A
RDIV11,Outros,100.0,7735786.0,1.18,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"221.933.430,43",N/A,N/A,N/A,N/A,N/A,N/A,0,24033.27,141,1.5,20.0,0.2
RDLI11,Lajes Corporativas,14.7,22860.5,0.12,23.18,32.05,32.05,93.2,125.55,10.68,23.3,31.39,93.2,0.53,32.75,196.29,"169.888.429,73",N/A,N/A,N/A,N/A,N/A,N/A,1,33173.06,303,N/A,N/A,N/A
RECD11,Papéis,6.57,373.0,1.05,0.49,6.91,9.26,12.86,36.37,3.09,2.14,3.03,31.66,-0.7,6.16,39.96,"37.253.634,66",N/A,N/A,N/A,N/A,N/A,N/A,0,9079.23,507,N/A,N/A,N/A
RECM11,Papéis,7.6,49513.29,0.81,0.1,1.26,3.98,7.71,16.6,1.33,1.29,1.38,9.05,8.93,10.3,8.72,"77.085.017,28",N/A,N/A,N/A,N/A,N/A,N/A,0,2232.16,1266,N/A,N/A,N/A
RECR11,Papéis,79.96,3345612.52,0.9,1.12,1.36,3.94,6.93,13.8,1.31,1.16,1.15,6.93,-0.38,0.98,18.18,"2.338.046.932,29",88.42,0.9,1.19,-7.25,-6.14,6.82,1,1264.97,173918,N/A,N/A,0.2
RECT11,Lajes Corporativas,35.67,413026.86,0.4,0.45,1.26,3.7,7.26,15.02,1.23,1.21,1.25,8.49,-0.67,0.58,12.31,"766.585.546,53",89.73,0.4,0.5,-4.22,-3.74,-1.67,7,1467.74,47166,N/A,N/A,0.17
REIT11,Papéis,70.01,8.89,0.23,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"7.950.552,80",N/A,N/A,N/A,N/A,N/A,N/A,1,12597.11,60,N/A,N/A,N/A
RELG11,Imóveis Industriais e Logísticos,68.5,27572.0,0.72,0.8,1.21,3.5,7.32,15.28,1.17,1.22,1.27,8.61,1.06,2.28,20.37,"33.917.632,18",94.64,0.72,0.85,-22.49,-21.83,-15.22,5,4387.81,3504,1.0,N/A,0.18
RENV11,Serviços Financeiros Diversos,5.61,14293.86,0.39,0.08,1.35,3.81,7.42,13.66,1.27,1.24,1.14,7.42,-5.87,-4.6,29.23,"14.670.063,13",N/A,N/A,N/A,N/A,N/A,N/A,14,12671.42,898,1.13,20.0,0.12
RFOF11,Fundo de Fundos,63.84,173508.0,148.47,3.84,0.0,0.0,0.0,3.19,0.0,0.0,0.27,0.0,0.0,0.0,N/A,"326.962,34",0.43,148.47,151.16,-99.46,-98.65,-98.63,14,1841.36,3284,N/A,N/A,N/A
RIFF11,Indefinido,7.56,168933.81,N/A,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,9.02,-1.47,-1.39,23.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1102.68,0,N/A,20.0,0.84
RINV11,Indefinido,104.4,464299.52,0.98,1.4,1.33,3.38,6.48,13.35,1.13,1.08,1.11,7.79,-2.13,-0.83,15.02,"535.332.599,60",N/A,N/A,N/A,N/A,N/A,N/A,14,916.9,4568,N/A,15.0,1.0
RMAI11,Lajes Corporativas,39.99,42751.5,0.33,0.27,0.73,2.2,3.6,7.95,0.73,0.6,0.66,3.6,0.68,1.42,-2.19,"588.376.786,38",111.43,0.36,0.24,3.31,3.56,5.86,2,5534.57,1080,N/A,N/A,N/A
RNDP11,Papéis,40.5,14794.0,1.01,40.38,99.67,0.0,0.0,101.28,0.0,0.0,8.44,145.4,-5.64,88.42,309.72,"4.329.855,96",N/A,N/A,0.0,-100.0,0.0,0.0,14,478.39,1292,N/A,N/A,N/A
RNGO11,Lajes Corporativas,52.15,25951.57,0.62,0.52,1.0,2.9,5.73,9.29,0.97,0.96,0.77,6.32,1.48,2.5,14.26,"224.955.690,41",84.06,0.62,0.57,-2.98,-2.42,2.1,4,1612.07,6554,N/A,N/A,0.2
ROOF11,Fundo de Desenvolvimento,323.31,323.0,1.16,13.55,0.0,0.0,0.0,15.9,0.0,0.0,1.33,15.9,0.0,0.0,N/A,"21.609.995,86",N/A,N/A,N/A,N/A,N/A,N/A,30,10193.75,81,N/A,N/A,N/A
RPRI11,Papéis,77.02,802636.19,0.76,0.9,1.0,3.5,6.88,15.17,1.17,1.15,1.26,2.45,5.52,6.57,7.56,"349.994.153,75",N/A,N/A,N/A,N/A,N/A,N/A,14,1028.7,4676,N/A,N/A,1.6
RSPD11,Fundo de Desenvolvimento,700.0,2457.29,0.91,93.95,11.25,11.59,11.59,20.87,3.86,1.93,1.74,11.59,-4.76,5.95,5.95,"114.328.809,38",1130.1,0.62,0.98,-1.08,-0.11,-0.11,14,21832.18,194,N/A,N/A,N/A
RURA11,Indefinido,8.19,2982312.29,0.79,0.11,1.3,3.79,7.93,16.5,1.26,1.32,1.38,9.26,-4.73,-3.49,20.77,"1.644.517.339,67",10.27,0.8,1.1,0.0,0.0,0.0,0,1160.46,106843,N/A,20.0,1.0
RVBI11,Fundo de Fundos,60.23,604022.78,0.87,0.65,1.01,3.22,6.62,13.78,1.07,1.1,1.15,1.01,2.92,3.96,3.96,"1.365.872.089,15",74.23,0.81,0.94,-11.65,-10.82,-5.26,14,18.57,81798,0.8,20.0,0.13
RZAG11,Indefinido,8.52,1248290.24,0.86,0.12,1.39,4.03,8.02,17.34,1.34,1.34,1.45,9.71,-4.01,-2.67,11.15,"663.772.571,32",9.76,0.87,1.23,2.12,3.37,16.26,0,1367.87,89255,N/A,10.0,1.15
RZAK11,Papéis,81.87,1282404.29,0.93,1.1,1.29,3.98,8.27,17.74,1.33,1.38,1.48,1.29,3.37,4.7,4.7,"777.616.578,87",88.2,0.93,1.25,-5.88,-4.71,5.56,14,860.98,44455,N/A,15.0,1.25
RZAT11,Imóveis Industriais e Logísticos,94.7,710142.19,0.91,1.7,1.75,5.05,8.39,15.36,1.68,1.4,1.28,8.39,0.37,2.13,28.77,"439.716.792,04",N/A,N/A,N/A,N/A,N/A,N/A,8,1130.97,34380,N/A,20.0,1.0
RZEO11,Indefinido,187.78,3610.0,1.06,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"559.264.931,82",177.38,1.06,2.68,0.0,0.0,0.0,0,5232.37,155,N/A,20.0,1.15
RZLC11,Papéis,1005.66,566171.38,1.01,12.05,1.19,3.5,7.2,14.15,1.17,1.2,1.18,8.57,0.04,1.23,17.06,"161.323.254,64",N/A,N/A,N/A,N/A,N/A,N/A,0,2843.73,160,N/A,N/A,N/A
RZTR11,Misto,86.53,2952911.67,0.88,1.0,1.01,3.06,6.38,13.78,1.02,1.06,1.15,2.03,0.56,1.58,4.02,"1.848.721.684,18",92.74,0.93,1.08,-4.81,-3.79,7.26,28,1276.31,146019,1.25,20.0,N/A
RZZI11,Misto,982.82,2000000.0,0.75,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"145.461.588,50",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,116,N/A,N/A,N/A
RZZR11,Imóveis Industriais e Logísticos,127.84,81520.19,0.73,1.23,0.95,2.79,5.58,11.15,0.93,0.93,0.93,5.58,-2.42,-1.49,4.02,"984.983.121,02",N/A,N/A,N/A,N/A,N/A,N/A,10,3363.29,557,N/A,N/A,0.25
RZZV11,Misto,1028.34,105000.0,0.86,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"207.352.351,72",N/A,N/A,N/A,N/A,N/A,N/A,1,9206.88,131,N/A,N/A,N/A
