Data,Estrangeiro,Institucional,Pessoa física,Inst. Financeira,Outros
03/01/2023,535,60 mi,-884,68 mi,454,87 mi,-237,63 mi,131,84 mi
02/01/2023,-348,71 mi,-407,46 mi,612,31 mi,4,43 mi,139,44 mi
29/12/2022,124,86 mi,-575,59 mi,102,08 mi,8,81 mi,339,85 mi
28/12/2022,1.164,39 mi,-960,77 mi,-598,77 mi,50,22 mi,344,94 mi
27/12/2022,720,89 mi,-1.273,82 mi,133,29 mi,23,77 mi,395,86 mi
26/12/2022,447,05 mi,-694,01 mi,167,01 mi,-12,37 mi,92,33 mi
23/12/2022,1.367,28 mi,-1.001,22 mi,-525,72 mi,79,12 mi,80,55 mi
22/12/2022,904,84 mi,-1.794,50 mi,-4,11 mi,843,94 mi,49,83 mi
21/12/2022,2.507,47 mi,-3.242,52 mi,-67,26 mi,896,19 mi,-93,88 mi
20/12/2022,1.206,23 mi,-819,81 mi,-385,54 mi,-110,66 mi,109,78 mi
19/12/2022,172,93 mi,31,73 mi,-492,54 mi,148,99 mi,138,89 mi
16/12/2022,-86,46 mi,-1.449,60 mi,553,06 mi,776,89 mi,206,10 mi
15/12/2022,225,00 mi,-390,96 mi,88,84 mi,-12,29 mi,89,41 mi
14/12/2022,1.607,48 mi,-1.733,01 mi,-38,98 mi,1,41 mi,163,10 mi
13/12/2022,-479,96 mi,44,79 mi,209,78 mi,40,05 mi,185,35 mi
12/12/2022,-146,80 mi,-657,32 mi,332,63 mi,83,38 mi,388,11 mi
09/12/2022,732,56 mi,-566,79 mi,-311,04 mi,73,26 mi,72,01 mi
08/12/2022,354,50 mi,-963,74 mi,359,26 mi,116,79 mi,133,18 mi
07/12/2022,435,87 mi,-747,82 mi,35,28 mi,6,80 mi,269,88 mi
06/12/2022,690,26 mi,-861,02 mi,-113,62 mi,57,14 mi,227,25 mi
05/12/2022,-258,17 mi,-690,63 mi,768,30 mi,119,62 mi,60,87 mi
02/12/2022,1.227,99 mi,-688,04 mi,-417,21 mi,-93,14 mi,-29,60 mi
01/12/2022,849,28 mi,-1.496,86 mi,509,89 mi,81,27 mi,56,42 mi
30/11/2022,1.587,33 mi,-1.379,64 mi,-173,58 mi,-33,29 mi,-0,81 mi
29/11/2022,496,12 mi,408,00 mi,-848,60 mi,-20,55 mi,-34,98 mi
28/11/2022,559,13 mi,-648,07 mi,82,19 mi,-1,89 mi,8,64 mi
25/11/2022,-227,18 mi,-745,35 mi,769,10 mi,141,70 mi,61,73 mi
24/11/2022,-28,89 mi,1.018,59 mi,-874,39 mi,-72,97 mi,-42,34 mi
23/11/2022,103,39 mi,-210,00 mi,54,80 mi,12,32 mi,39,49 mi
22/11/2022,379,59 mi,-559,01 mi,-3,59 mi,146,38 mi,36,63 mi
21/11/2022,-380,99 mi,843,59 mi,-100,18 mi,-357,98 mi,-4,43 mi
18/11/2022,-1.215,75 mi,1.290,20 mi,315,78 mi,-331,37 mi,-58,87 mi
17/11/2022,-1.653,34 mi,957,67 mi,188,97 mi,475,86 mi,30,83 mi
16/11/2022,115,09 mi,-1.333,47 mi,737,77 mi,427,71 mi,52,89 mi
14/11/2022,193,18 mi,-115,80 mi,-103,55 mi,3,76 mi,22,42 mi
11/11/2022,2.202,71 mi,-698,30 mi,-883,94 mi,-512,98 mi,-107,49 mi
10/11/2022,-1.447,34 mi,556,09 mi,882,86 mi,-101,55 mi,109,95 mi
09/11/2022,-2.137,48 mi,421,82 mi,1.522,69 mi,102,49 mi,90,49 mi
08/11/2022,719,51 mi,-593,78 mi,-112,52 mi,-12,71 mi,-0,51 mi
07/11/2022,723,31 mi,-1.234,49 mi,389,00 mi,107,86 mi,14,32 mi
04/11/2022,1.889,93 mi,-1.601,65 mi,-175,91 mi,-65,40 mi,-46,98 mi
03/11/2022,497,66 mi,-1.016,32 mi,474,99 mi,37,45 mi,6,21 mi
01/11/2022,546,85 mi,218,66 mi,-661,15 mi,-81,85 mi,-22,52 mi
31/10/2022,1.898,91 mi,-1.499,93 mi,-362,42 mi,-12,52 mi,-24,04 mi
28/10/2022,498,74 mi,-693,36 mi,2,58 mi,110,89 mi,81,16 mi
27/10/2022,1.140,93 mi,-715,15 mi,-394,16 mi,13,81 mi,-45,43 mi
26/10/2022,1.073,14 mi,-1.550,56 mi,281,44 mi,190,40 mi,5,58 mi
25/10/2022,746,60 mi,-1.169,03 mi,353,37 mi,46,58 mi,22,48 mi
24/10/2022,245,33 mi,-2.116,81 mi,1.726,39 mi,85,07 mi,60,02 mi
21/10/2022,3.904,83 mi,-1.031,89 mi,-2.870,76 mi,221,70 mi,-223,88 mi
20/10/2022,524,44 mi,-169,01 mi,-360,07 mi,25,02 mi,-20,39 mi
19/10/2022,921,68 mi,-706,25 mi,-264,30 mi,57,24 mi,-8,38 mi
18/10/2022,1.412,39 mi,-957,77 mi,-481,92 mi,78,49 mi,-51,19 mi
17/10/2022,346,86 mi,-128,74 mi,-289,02 mi,37,34 mi,33,56 mi
14/10/2022,-812,43 mi,-246,03 mi,1.033,41 mi,-2,15 mi,27,21 mi
13/10/2022,755,68 mi,-951,49 mi,138,37 mi,24,84 mi,32,60 mi
11/10/2022,207,89 mi,-553,04 mi,249,04 mi,-16,34 mi,112,45 mi
10/10/2022,80,05 mi,-724,63 mi,476,01 mi,56,91 mi,111,67 mi
07/10/2022,-1.160,87 mi,496,69 mi,251,14 mi,310,79 mi,102,25 mi
06/10/2022,-1.985,31 mi,179,37 mi,-448,92 mi,2.170,92 mi,83,93 mi
05/10/2022,576,87 mi,-301,79 mi,-652,74 mi,-18,62 mi,396,29 mi
04/10/2022,1.315,09 mi,-1.641,78 mi,-345,34 mi,31,30 mi,640,74 mi
03/10/2022,2.380,79 mi,218,39 mi,-3.079,66 mi,-43,21 mi,523,69 mi
30/09/2022,245,15 mi,215,38 mi,-893,99 mi,-39,29 mi,472,74 mi
29/09/2022,188,73 mi,-1.337,72 mi,328,92 mi,56,77 mi,763,30 mi
28/09/2022,685,33 mi,-763,54 mi,-191,85 mi,-48,40 mi,318,45 mi
27/09/2022,1.063,87 mi,-1.435,41 mi,150,24 mi,3,38 mi,217,91 mi
26/09/2022,748,85 mi,-1.981,02 mi,630,82 mi,10,67 mi,590,68 mi
23/09/2022,-2.054,92 mi,-539,19 mi,1.269,22 mi,55,46 mi,1.269,44 mi
22/09/2022,-104,71 mi,411,17 mi,-393,99 mi,-31,03 mi,118,56 mi
21/09/2022,-905,70 mi,-286,69 mi,77,17 mi,17,46 mi,1.097,77 mi
20/09/2022,-44,63 mi,-718,37 mi,224,96 mi,-33,36 mi,571,39 mi
